gene,fg_score,fg_rank,between_variance,within_variance,permutation_p_value,bh_fdr,bh_fdr_005,bh_fdr_001,in_locked_top200
POLR1D,1.0456305093558673,20242,0.021145638744115604,0.020222849370411643,0.4125874125874126,0.44165319908823514,False,False,False
POLR1E,1.1937274111154152,19731,0.011569868566569386,0.009692209897806097,0.3156843156843157,0.34667516863046743,False,False,False
POLR2B,3.658586951886631,12238,0.21448671607869302,0.05862555197224948,0.014985014985014986,0.026531729424358944,True,False,False
POLR2C,2.583078016995597,13589,0.026302441507924997,0.010182586628853518,0.02197802197802198,0.035044505130604184,True,False,False
POLR2D,5.501457550157878,8440,0.09833717117983362,0.01787473869764497,0.001998001998001998,0.005129467688709395,True,True,False
POLR2E,2.6972326395484796,9914,0.07072014922919251,0.02621951151707283,0.005994005994005994,0.013100476283853326,True,False,False
POLR2F,11.971033878593444,5605,0.12041404793253889,0.010058774325041701,0.000999000999000999,0.003861972104612604,True,True,False
POLR2G,3.4102493262017926,9572,0.04323133144959949,0.012676872923908945,0.004995004995004995,0.011307121628893463,True,False,False
POLR2H,5.4563900369005465,5604,0.12127232407135682,0.022225733257211222,0.000999000999000999,0.00386266125024155,True,True,False
POLR2I,1.6995709912727923,17175,0.034394800232518896,0.020237332487683293,0.0979020979020979,0.12351340071864089,False,False,False
POLR2L,4.53759796130068,5613,0.18546492708034357,0.04087292071402495,0.000999000999000999,0.003856467779503589,True,True,False
POLR3A,7.558880364169978,5612,0.031843760808961605,0.0042127515830387985,0.000999000999000999,0.003857154961930443,True,True,False
POLR3B,1.1978498724403788,19648,0.03498884875134247,0.02920970113021009,0.3046953046953047,0.33602086024724465,False,False,False
POLR3C,2.8467815006017845,12901,0.04843618897766671,0.017014358319952804,0.016983016983016984,0.028523991317573213,True,False,False
POLR3D,6.567255813024394,5611,0.01006250543572282,0.0015322137662444235,0.000999000999000999,0.0038578423892984574,True,True,False
POLR3E,2.3811721598204696,14054,0.01859504777971412,0.007809189222754271,0.025974025974025976,0.040045908268478356,True,False,False
POLR3F,2.890061787511616,11815,0.12428365700736435,0.043003796196951355,0.013986013986013986,0.02564950918738477,True,False,False
POLR3G,1.9775434886806387,15949,0.1670706811725839,0.08448393795304793,0.056943056943056944,0.07736172536473496,False,False,False
POLR3GL,2.122003252534635,15094,0.02284173664099576,0.010764222624861607,0.03896103896103896,0.055930024659321065,False,False,False
POLR3H,2.113467177319972,15229,0.015174237878324358,0.007179774025586988,0.04095904095904096,0.058277004366701655,False,False,False
POLR3K,4.570968710226491,5610,0.06056532817189955,0.01324998841639663,0.000999000999000999,0.003858530061738618,True,True,False
POLRMT,2.356110324446951,14456,0.08552416807643337,0.036298870909368466,0.028971028971028972,0.04342447812287325,True,False,False
POMC,1.5023948469093484,18657,0.0337931465214045,0.02249284305452296,0.18981018981018982,0.2204431147991206,False,False,False
POMGNT1,8.28430736640127,5609,0.041705586567427594,0.005034277686689809,0.000999000999000999,0.0038592179793820016,True,True,False
POMGNT2,2.0985890097988915,15808,0.056739012380492795,0.027036733314466373,0.053946053946053944,0.07394376878182546,False,False,False
POMK,5.723319112787607,5608,0.06053755721728505,0.010577341362782837,0.000999000999000999,0.00385990614235978,True,True,False
POMP,1.755418117558603,17287,0.14101336408089712,0.08033034700748914,0.1018981018981019,0.1277218760877001,False,False,False
POMT1,3.8534092169172522,11682,0.054026008133208306,0.014020304244338004,0.013986013986013986,0.025941529793609915,True,False,False
POMT2,7.1163497768738795,9371,0.0961582007961395,0.013512282651581912,0.003996003996003996,0.009239719836241018,True,True,False
PON1,2.029024351635751,16207,0.00023899499635786055,0.00011777813603946571,0.06393606393606394,0.0854795232533247,False,False,False
PON2,1.0032089467288683,20379,0.07742149271422366,0.07717383595369637,0.44455544455544455,0.4726741926800811,False,False,False
PON3,2.1151578324048335,15618,0.060881594361516585,0.028783465837496774,0.04895104895104895,0.06791339023378977,False,False,False
POP1,5.478879461852164,5570,0.11301433615001964,0.020627261860406025,0.000999000999000999,0.003886239433815735,True,True,False
POP4,3.494919278510041,9370,0.03681287979340014,0.010533246095429551,0.003996003996003996,0.009240705932274768,True,True,False
POP5,2.1984784504821064,14687,0.03525336644097118,0.01603533773481197,0.03196803196803197,0.0471630228558124,True,False,False
POP7,2.898103536224752,9574,0.017050025980501197,0.00588315661823325,0.004995004995004995,0.011304759581341991,True,False,False
POPDC2,4.33547833921283,5569,0.027862997984138282,0.0064267313660281876,0.000999000999000999,0.003886937268154722,True,True,False
POPDC3,3.506611555029703,9369,0.23965322578426873,0.06834323875263772,0.003996003996003996,0.009241692238810394,True,True,False
POR,6.811433455079179,5600,0.3845638946802621,0.056458574997772945,0.000999000999000999,0.0038654202939917225,True,True,False
PORCN,2.5526306491389894,11049,0.028600991022146294,0.011204506028119267,0.01098901098901099,0.021550356603302574,True,False,False
POSTN,14.81655580304894,5599,0.6144002112074864,0.041467131174675396,0.000999000999000999,0.00386611067089724,True,True,False
POT1,2.320063213588372,14339,0.13799622528349645,0.059479500935420516,0.027972027972027972,0.04226918907161602,True,False,False
POU1F1,8.611006713932884,5579,0.06638785728797748,0.007709641088827954,0.000999000999000999,0.0038799701821748784,True,True,False
POU2AF1,4.20508347338783,5578,0.008432731627285977,0.0020053560481779063,0.000999000999000999,0.003880665766646405,True,True,False
POU2F1,2.6493174404672515,10086,0.0464275736373892,0.017524342849615827,0.006993006993006993,0.015023247622890692,True,False,False
POU2F2,4.131465271369642,8723,0.14930408882476465,0.03613827969092801,0.002997002997002997,0.007444578807641974,True,True,False
POU2F3,0.4143454962343075,21551,0.00023712367362870834,0.0005722749066389216,0.9170829170829171,0.922061744111765,False,False,False
POU3F4,13.82467997421036,5577,0.8829875031285317,0.06387036564527539,0.000999000999000999,0.0038813616005654735,True,True,False
POU4F2,2.1841979044733524,15527,0.0011222386204346665,0.0005137889639749506,0.04795204795204795,0.0669173037305967,False,False,False
POU6F2,34.41118840602661,5576,2.0786377892677836,0.060405860461124235,0.000999000999000999,0.0038820576840662923,True,True,True
PP2D1,3.127685538846837,10816,0.00035834728296802425,0.00011456266995586302,0.00999000999000999,0.020013270752915722,True,False,False
PPA1,2.402040253998463,14583,0.14858968707547807,0.06185977225308007,0.030969030969030968,0.04601501495144778,True,False,False
PPA2,2.8265083957269073,13100,0.18898388059307067,0.06686123862702513,0.017982017982017984,0.029743081346134785,True,False,False
