gene,fg_score,fg_rank,between_variance,within_variance,permutation_p_value,bh_fdr,bh_fdr_005,bh_fdr_001,in_locked_top200
CD300E,23.651269493673723,2215,1.4366541090755427,0.06074320335942753,0.000999000999000999,0.009772620156367335,True,True,True
THRB,28.23283734372683,2264,1.2953221413487186,0.04587997455764601,0.000999000999000999,0.009561110267824049,True,True,True
CDH13,25.725564444474056,2317,1.6417508215599987,0.06381786366040293,0.000999000999000999,0.00934240554439087,True,True,True
CDH12,27.772357778482174,2318,1.5001977811516796,0.054017650045918825,0.000999000999000999,0.009338375170989493,True,True,True
CDKL1,24.342951846715323,2360,1.3929982700107266,0.05722387471136415,0.000999000999000999,0.009172183748454934,True,True,True
TESPA1,22.579619267627365,2375,4.140253338354117,0.18336239701321483,0.000999000999000999,0.009114254166885745,True,True,True
CEMIP2,16.208753221267184,2405,0.6702458624964915,0.04135084859762953,0.000999000999000999,0.009000562846716693,True,True,True
GPR139,15.225123446742277,2517,2.3400803681857494,0.153698603766344,0.000999000999000999,0.008600061043446025,True,True,True
TBR1,9.834787358273019,2534,2.8602665588210185,0.2908315509299843,0.000999000999000999,0.008542365290589441,True,True,True
CHAT,17.187740339554473,2537,2.297341372944064,0.13366161901921136,0.000999000999000999,0.008532263952051101,True,True,True
TAFA2,24.982467351376513,2644,2.0400102773213775,0.08165766810796217,0.000999000999000999,0.00818697187834858,True,True,True
SYNDIG1L,19.342132509335695,2743,6.951833013592055,0.3594139796537611,0.000999000999000999,0.007891488751860607,True,True,True
GRIN2A,31.57860411722895,2837,0.7896025994994627,0.02500434410533754,0.000999000999000999,0.0076300153846858105,True,True,True
STX1A,15.403497359495072,2856,1.6604645685400659,0.10779788354243744,0.000999000999000999,0.007579255478415142,True,True,True
ST8SIA5,11.487227844648155,2983,1.3167920239110202,0.11463095594923965,0.000999000999000999,0.0072565717889217715,True,True,True
GRM2,18.985648201595556,3030,1.8310041412992777,0.09644147684612202,0.000999000999000999,0.007144011104407144,True,True,True
CRHBP,30.6449482410628,3067,1.5391472145831069,0.05022514301627175,0.000999000999000999,0.007057826425286484,True,True,True
CREG2,21.437884847695294,3071,0.741415646769057,0.034584355576940944,0.000999000999000999,0.007048633554657651,True,True,True
SRGAP1,26.129784425276952,3120,1.6851515776482968,0.06449158894400606,0.000999000999000999,0.006937933861010784,True,True,True
CUX2,17.637895317970614,3205,1.6375530153937916,0.092842870960142,0.000999000999000999,0.006753932494962136,True,True,True
CYTH3,22.580709892780124,3297,0.26659630530869327,0.011806363961428637,0.000999000999000999,0.006565469713786365,True,True,True
ENSMFAG00000046600,23.469583068466214,3311,1.188811649424319,0.05065328221896614,0.000999000999000999,0.006537708742480715,True,True,True
HCN1,28.84761014343974,3481,1.122636582039502,0.03891609349895142,0.000999000999000999,0.006218429659969447,True,True,True
SLITRK1,17.36033223692167,3550,0.33025536079720674,0.019023552238908364,0.000999000999000999,0.0060975644074235625,True,True,True
DLX1,28.97794146184745,3605,1.1642286544359504,0.04017636539812072,0.000999000999000999,0.006004536379016268,True,True,True
DLGAP1,13.267708938028502,3608,0.5687126609865113,0.0428644109518677,0.000999000999000999,0.005999543693556997,True,True,True
HECW1,34.720543971733,3670,1.1454408205424087,0.03299028017157522,0.000999000999000999,0.005898189004456034,True,True,True
DOC2A,20.555933569219984,3735,2.2890032011254298,0.11135485468748539,0.000999000999000999,0.005795543144940735,True,True,True
SLC35D3,16.15556244676432,3745,3.0304795719301563,0.18758117647469985,0.000999000999000999,0.005780067729333416,True,True,True
ENSMFAG00000046456,23.804188166254434,3767,2.3436818011251552,0.09845668949994903,0.000999000999000999,0.005746311029029372,True,True,True
DSG3,32.45897263787669,3813,1.909924288466109,0.05884117113576397,0.000999000999000999,0.0056769875810001695,True,True,True
DSCAM,27.306611945571106,3816,0.3904909483086488,0.014300224283440022,0.000999000999000999,0.005672524540449068,True,True,True
DRD2,19.207906264997018,3823,6.179727403350045,0.3217283094791249,0.000999000999000999,0.005662138018925881,True,True,True
SLC30A3,15.69926991364513,3833,3.7769707455832418,0.24058256271571982,0.000999000999000999,0.005647365939565261,True,True,True
SLC26A4,31.3446529916254,3880,2.4804468042138588,0.07913459726065718,0.000999000999000999,0.005578957125348878,True,True,True
ECEL1,25.82378320268517,3926,2.5359782348168385,0.09820319341572362,0.000999000999000999,0.005513589823319828,True,True,True
EDNRB,8.821839114331887,3939,0.44047665262230123,0.04993024228795054,0.000999000999000999,0.005495393157236264,True,True,True
ECM1,28.024238081488168,3947,1.4295478881214667,0.051011114154907035,0.000999000999000999,0.005484254787523093,True,True,True
HIVEP1,53.05005509223756,3955,0.5793539542817988,0.010920882603683114,0.000999000999000999,0.005473161478218368,True,True,True
EFHD2,17.96042347727263,3973,1.0342091407706262,0.057582660145797444,0.000999000999000999,0.0054483648744912275,True,True,True
SLC18A3,23.252447317600044,4000,2.3435316044934624,0.10078643937815283,0.000999000999000999,0.005411588411588411,True,True,True
SLC17A7,12.91932629251298,4027,4.257462713037873,0.3295421516145078,0.000999000999000999,0.005375305102148906,True,True,True
SIX3,30.22901138384194,4089,5.499538557656231,0.18192914698843704,0.000999000999000999,0.005293801331952469,True,True,True
ELAVL4,27.79716203875166,4093,2.1064872101725687,0.07578064729285394,0.000999000999000999,0.005288627814892168,True,True,True
EMX1,18.808447932006526,4134,3.89730950987603,0.20721057558180866,0.000999000999000999,0.005236176498876063,True,True,True
SHC3,26.119476095661607,4189,0.6171542451585129,0.023628114963081513,0.000999000999000999,0.005167427463918273,True,True,True
HRH1,35.26088176858255,4197,1.805220807448883,0.051196123417665544,0.000999000999000999,0.005157577709400439,True,True,True
SH2D4B,31.53592782059359,4222,2.0195263664617493,0.06403889755809501,0.000999000999000999,0.005127037812968652,True,True,True
SEPT6,23.02542969259193,4308,0.550642781597183,0.023914539650048167,0.000999000999000999,0.0050246874759409576,True,True,True
HTR3A,23.00290775233013,4404,2.298791997825326,0.09993483400216598,0.000999000999000999,0.004915157503713362,True,True,True
HTR2A,36.83398576581363,4406,2.4440620499542636,0.06635344046537557,0.000999000999000999,0.004912926383648127,True,True,True
SATB2,71.20573938994579,4473,2.8760690135592886,0.04039096182614731,0.000999000999000999,0.004839336831288541,True,True,True
SATB1,59.15386538027318,4474,1.1542894502997245,0.01951332937147344,0.000999000999000999,0.004838255173525625,True,True,True
SALL2,19.303413384293957,4484,0.6210949674761418,0.03217538588006181,0.000999000999000999,0.004827465130765755,True,True,True
ID2,33.27993296807332,4505,1.37293819707101,0.041254225649696795,0.000999000999000999,0.004804961963674505,True,True,True
RSPO2,43.96281796598608,4573,3.682322545375585,0.0837599197712123,0.000999000999000999,0.0047335127151440295,True,True,True
RORB,32.56233823257432,4670,3.3092577958961513,0.10162837344900172,0.000999000999000999,0.00463519350028986,True,True,True
IGSF21,8.31038675145515,4689,0.6517001085778863,0.07841993940413255,0.000999000999000999,0.004616411526200394,True,True,True
RND1,32.907510378901215,4706,0.700249035029967,0.02127929757955286,0.000999000999000999,0.004599735156471238,True,True,True
