gene_symbol,fg_score,fg_rank,between_variance,within_variance,permutation_exceed_count,permutation_p_value,bh_fdr,bh_fdr_005,bh_fdr_001,in_locked_top200,in_recomputed_top200
SATB1,75.03074784555254,64,3.413691887604114,0.045497229273571506,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
KCNK12,74.92222054924547,65,4.383811833025774,0.058511494342618195,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
PCSK1,74.78783705649143,66,7.131374658495492,0.09535472867373337,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
GRIN2A,74.33145015490062,67,2.731090953603686,0.03674205473723191,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
USP43,74.09402891172739,68,4.782213917430991,0.06454249076113862,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
DLX1,73.62319506366798,70,3.6348046744160474,0.04937036398706665,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
AACS,73.5096685772962,72,1.7935003892446808,0.024398146378011635,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
ZBTB16,73.3093564493248,73,3.8420199720935435,0.05240830673033913,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
TMEM155,73.21681969318924,74,9.624771640111462,0.13145573583058237,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
SHC3,72.95187925291403,76,2.3364320245705414,0.0320270199887746,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
HRH1,72.74315044634537,77,5.160503632726319,0.0709414271121121,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
PKNOX2,71.90580226297193,79,3.038898625015472,0.04226220708648344,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
FAM131B,71.83748730638806,80,1.8103525199640298,0.025200655945383735,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
CD300E,71.64996204300589,82,4.655490922435586,0.0649754734432607,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
FOXO1,70.68189076555126,83,3.124133926889836,0.04419991013587259,0,0.0001999600079984003,0.00034656322614856324,True,True,True,True
