gene_symbol,fg_score,fg_rank,between_variance,within_variance,permutation_exceed_count,permutation_p_value,bh_fdr,bh_fdr_005,bh_fdr_001,in_locked_top200,in_recomputed_top200
ENSMFAG00000039207,3.4579524454079498,13791,0.10572074192154157,0.0305732103061194,1,0.0003999200159968006,0.0006602763567981313,True,True,False,False
ENSMFAG00000039208,2.4398233867786256,16132,0.05677609102009589,0.02327056414391749,50,0.010197960407918417,0.013914950007479613,True,False,False,False
ENSMFAG00000039221,2.0818987108162874,17061,0.1944720680933523,0.09341090719928206,157,0.03159368126374725,0.04005686867307639,True,False,False,False
ENSMFAG00000039222,2.1746270035688533,16809,0.001007399887123144,0.00046324180615796014,129,0.025994801039792043,0.03335832685402511,True,False,False,False
ENSMFAG00000039224,0.6648611532056631,21137,0.00019368135973523638,0.0002913009884693842,3370,0.6740651869626075,0.6927687933930551,False,False,False,False
ENSMFAG00000039228,3.6032448771614165,13495,0.16045395381262503,0.044530395032873676,6,0.0013997200559888023,0.0021426445901211845,True,True,False,False
ENSMFAG00000039254,3.211728947244528,14307,0.0008039964184122438,0.00025032134228279907,34,0.006998600279944011,0.009769095591433798,True,True,False,False
ENSMFAG00000039261,1.1538182238663028,19773,0.011180176318406135,0.00968971069182851,880,0.17616476704659068,0.20036418940557066,False,False,False,False
ENSMFAG00000039264,6.398697934025737,9585,0.11348235603372642,0.017735216323198078,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ENSMFAG00000039267,0.8796743191608086,20613,0.00034024446114297815,0.0003867745789423118,2731,0.5462907418516296,0.5702118500140233,False,False,False,False
ENSMFAG00000039281,3.62452509455064,13455,0.18075484526112628,0.04986992897017999,6,0.0013997200559888023,0.0021426445901211845,True,True,False,False
ENSMFAG00000039289,0.9927597421249748,20262,0.0003060794619340002,0.00030830171828024125,2301,0.46030793841231754,0.486795471204944,False,False,False,False
ENSMFAG00000039297,1.7777811827056789,17937,0.0016441095045812237,0.0009247998250646264,376,0.07538492301539693,0.09050534751205788,False,False,False,False
ENSMFAG00000039304,1.9235930202347236,17535,0.03893920944639663,0.02024294629937622,116,0.023395320935812838,0.030219362982843074,True,False,False,False
ENSMFAG00000039306,31.51686757244195,1125,0.6674117719778612,0.021176325828546606,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ENSMFAG00000039310,3.48927443726959,13737,0.27397439012261576,0.07851900449660833,4,0.0009998000399920016,0.0015583129957233988,True,True,False,False
ENSMFAG00000039312,1.455246995554036,18841,0.0020841908464437286,0.0014321804479522692,836,0.16736652669466107,0.1910191151129795,False,False,False,False
ENSMFAG00000039315,2.101491968332151,17008,0.0228721122273886,0.010883739532262572,62,0.01259748050389922,0.01692683911437978,True,False,False,False
ENSMFAG00000039322,3.5587445455243034,13593,0.03946395613751691,0.01108928163998276,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ENSMFAG00000039325,2.5601307930128505,15817,0.015329509766914419,0.005987773830713633,37,0.007598480303939212,0.01055747811643186,True,False,False,False
ENSMFAG00000039327,7.650581374539179,8432,0.023230617436565296,0.0030364412576620436,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ENSMFAG00000039329,0.618327905667108,21235,0.003258353426971552,0.00526961053161121,3098,0.6196760647870426,0.6406690033307396,False,False,False,False
ENSMFAG00000039330,1.3839555856928025,19070,0.024240375799971764,0.017515274486414444,1028,0.20575884823035392,0.23114800515633083,False,False,False,False
ENSMFAG00000039331,16.4444636806224,3704,0.4870458769847936,0.029617610035776055,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ENSMFAG00000039348,0.7451229451609673,20962,0.018036307435239915,0.024205804023541534,3274,0.6548690261947611,0.6743193489325705,False,False,False,False
ENSMFAG00000039349,3.6356885722998404,13429,0.06875803323951686,0.01891196000848242,21,0.004399120175964807,0.006321383113787747,True,True,False,False
ENSMFAG00000039360,0.5278183628113264,21406,0.0006334714886371716,0.0012001594773616883,3905,0.7810437912417516,0.7934575867891731,False,False,False,False
ENSMFAG00000039363,3.1988255077372263,14343,0.07812988276816979,0.02442454288017164,1,0.0003999200159968006,0.0006602763567981313,True,True,False,False
ENSMFAG00000039371,1.4132693085513144,18966,0.0353640516695133,0.02502285822160142,768,0.15376924615076984,0.17652302122356986,False,False,False,False
ENSMFAG00000039376,6.262648725423422,9736,0.12180516281780412,0.019449454301475537,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ENSMFAG00000039391,13.060063460257773,5024,0.4165747916656297,0.03189683283949165,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ENSMFAG00000039393,0.6937116034886203,21073,0.0001786413112584409,0.0002575052417230273,3000,0.6000799840031994,0.6221605384650617,False,False,False,False
ENSMFAG00000039394,6.53990183759714,9437,0.18289029811623855,0.027965287134098155,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ENSMFAG00000039395,20.51200959694536,2653,0.931276062626599,0.04540149287201914,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ENSMFAG00000039401,5.289283373941464,10857,0.1616969706209359,0.030570666439376074,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ENSMFAG00000039409,1.6859593351540985,18214,0.04620306228471428,0.027404602508338625,493,0.09878024395120975,0.11660330823353743,False,False,False,False
ENSMFAG00000039432,2.034315163752772,17208,0.04345051122925091,0.021358780419226994,157,0.03159368126374725,0.04005686867307639,True,False,False,False
ENSMFAG00000039433,7.638093740138192,8441,0.20168155895876272,0.026404688059533606,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ENSMFAG00000039438,4.56926588066228,11843,0.10638442169233674,0.02328259698125913,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ENSMFAG00000039439,1.9104134781629885,17582,0.012727286713060487,0.006662048689671078,218,0.04379124175164967,0.05447319744386848,False,False,False,False
ENSMFAG00000039456,1.7800245761553872,17934,0.0007441970531349078,0.0004180724597052884,294,0.05898820235952809,0.07196826400485667,False,False,False,False
ENSMFAG00000039465,6.093173810093639,9913,0.0917110228899111,0.015051427189923475,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ENSMFAG00000039487,5.38352155450698,10724,0.04940308299453146,0.009176712428680936,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ENSMFAG00000039495,22.01647895768537,2331,0.5565874191613933,0.02528048195473663,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ENSMFAG00000039504,4.288004837084178,12333,0.024679227780407396,0.005755400434002484,10,0.0021995600879824036,0.0032816957919440007,True,True,False,False
ENSMFAG00000039508,9.601432277348264,6980,0.4073970356621815,0.04243085071890692,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ENSMFAG00000039510,1.4365883892146603,18900,0.01134497722511348,0.007897156168324275,839,0.16796640671865626,0.1916633893717333,False,False,False,False
ENSMFAG00000039523,3.5596753042848936,13591,0.0271417186050753,0.007624763690005928,3,0.0007998400319936012,0.0012624514724094806,True,True,False,False
ENSMFAG00000039524,4.5775724199646515,11831,0.19814378952540157,0.043285769305471185,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ENSMFAG00000039533,0.586742892362374,21298,0.00043373167731893463,0.0007392093121805399,3702,0.7404519096180764,0.7551591818509121,False,False,False,False
ENSMFAG00000039537,23.809742115316542,2019,0.7454234688606413,0.03130748863859796,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ENSMFAG00000039540,10.112747696226268,6615,0.2440500311491891,0.02413290011307048,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ENSMFAG00000039554,0.8685413307862004,20643,0.0006956889790057974,0.0008009754618847698,2678,0.5356928614277144,0.5599861502033827,False,False,False,False
ENSMFAG00000039556,0.36338101723581356,21576,0.0017687276539776553,0.0048674089626968104,4580,0.9160167966406718,0.921032573067753,False,False,False,False
ENSMFAG00000039563,3.9005113430374356,12960,0.05898131939676851,0.015121422604484656,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ENSMFAG00000039565,2.1256072227197254,16946,0.003364557528366835,0.001582858882079666,124,0.02499500099980004,0.03214193956460933,True,False,False,False
ENSMFAG00000039570,3.8301849750000017,13099,0.045630142927156336,0.011913290069053797,2,0.0005998800239952009,0.0009667683421292684,True,True,False,False
ENSMFAG00000039574,3.3277142361932666,14063,0.03413289335521938,0.010257148798066041,4,0.0009998000399920016,0.0015583129957233988,True,True,False,False
ENSMFAG00000039589,1.222461395262991,19581,0.0005300465194462619,0.0004335795771434416,1056,0.21135772845430914,0.23694636072785444,False,False,False,False
ENSMFAG00000039591,0.6663215541317554,21132,0.006293690631706238,0.009445415549691511,3755,0.7510497900419916,0.7652112122363226,False,False,False,False
ENSMFAG00000039595,2.667062843558068,15534,0.14023495308393993,0.05258028574468357,47,0.009598080383923215,0.013141940332312684,True,False,False,False
ENSMFAG00000039602,21.924058827801453,2349,0.4231556087768581,0.019300960322167857,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ENSMFAG00000039608,7.561419636814086,8506,0.32490080541993166,0.04296821832555088,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ENSMFAG00000039609,1.3617617357918739,19142,0.0014234799631913917,0.0010453123392737118,776,0.15536892621475704,0.17819891452579692,False,False,False,False
ENSMFAG00000039610,11.530855070950256,5783,0.2746708601277162,0.023820501006134826,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ENSMFAG00000039614,8.144264307985198,8018,0.6945441213281456,0.08528014485047149,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ENSMFAG00000039626,2.2173555972240804,16696,0.0017084517458153265,0.0007704806456836002,150,0.030193961207758448,0.03840128845745788,True,False,False,False
ENSMFAG00000039641,1.7693582677980397,17961,0.015101794551098228,0.008535171837363192,308,0.0617876424715057,0.07514675780604993,False,False,False,False
ENSMFAG00000039648,1.7717169916330737,17953,0.06373860733344039,0.0359756044093248,334,0.0669866026794641,0.08099245058080622,False,False,False,False
ENSMFAG00000039652,3.9258652182195752,12900,0.011420927607607533,0.002909139186936951,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ENSMFAG00000039653,5.530489876856858,10536,0.19073688584421786,0.03448823427694628,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ENSMFAG00000039667,14.607015741376053,4375,0.3203428327650446,0.021930741526311883,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ENSMFAG00000039668,21.458938462706946,2440,0.6923341205151942,0.03226319452516267,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ENSMFAG00000039671,4.392265404244561,12160,0.01760883348731915,0.00400904497885043,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ENSMFAG00000039679,0.5197174649277159,21422,0.001016330644609501,0.0019555345279308745,4154,0.8308338332333534,0.8405316788916006,False,False,False,False
ENSMFAG00000039693,0.9392378234604339,20426,0.0037825785705727535,0.004027275183891551,2002,0.40051989602079585,0.42812219954509423,False,False,False,False
ENSMFAG00000039705,19.228502731648486,2928,0.8558583697845794,0.0445098710723265,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ENSMFAG00000039707,1.851837719719379,17738,0.05307324004891132,0.02865975833917923,339,0.06798640271945611,0.08213712707695428,False,False,False,False
ENSMFAG00000039715,1.6296646457306267,18354,0.004466748009133026,0.0027408901114646207,578,0.11577684463107378,0.1353175829044774,False,False,False,False
ENSMFAG00000039727,3.8782576028703453,13008,0.13675919016985985,0.03526303958923892,2,0.0005998800239952009,0.0009667683421292684,True,True,False,False
ENSMFAG00000039736,0.9836201911371086,20290,0.006510001020014444,0.006618399299313583,1958,0.39172165566886624,0.4192760736530821,False,False,False,False
ENSMFAG00000039745,1.9478652206713223,17454,0.019630673130725983,0.010078034888526922,146,0.029394121175764846,0.03744777855341443,True,False,False,False
ENSMFAG00000039753,0.43073598221735265,21517,0.0009553973199950433,0.002218047834585416,4081,0.8162367526494702,0.8263429405414531,False,False,False,False
ENSMFAG00000039768,2.547264658384664,15851,0.08590733242044543,0.03372531655280632,49,0.009998000399920015,0.013655866910329483,True,False,False,False
ENSMFAG00000039776,3.123726643263569,14507,0.0015881069189390114,0.0005083913744812857,4,0.0009998000399920016,0.0015583129957233988,True,True,False,False
ENSMFAG00000039783,5.262121025061118,10898,0.13157422040764602,0.025004017801910507,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ENSMFAG00000039785,4.106523546785503,12607,0.17779247176606236,0.04329512023375561,1,0.0003999200159968006,0.0006602763567981313,True,True,False,False
ENSMFAG00000039796,2.4301171900641028,16155,0.037348257504634795,0.01536890210734146,63,0.01279744051189762,0.017182732743326164,True,False,False,False
ENSMFAG00000039800,0.6103381785185641,21247,0.0007630798555147372,0.0012502474513147999,3175,0.6350729854029195,0.6550871868851975,False,False,False,False
ENSMFAG00000039812,3.346981040675549,14030,0.030184707084807853,0.00901847762152397,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ENSMFAG00000039814,2.0137251742908,17262,0.03479944246139684,0.017281117983937833,157,0.03159368126374725,0.04005686867307639,True,False,False,False
ENSMFAG00000039827,4.436321623606854,12081,0.12342772875876963,0.027822077583095343,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ENSMFAG00000039828,1.6012396443014028,18436,0.027795775484666243,0.017358900381458316,439,0.08798240351929613,0.10462667907667574,False,False,False,False
ENSMFAG00000039829,6.966992367866376,9050,0.20310786755851168,0.0291528664256007,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ENSMFAG00000039830,1.8536601947772244,17731,0.0023505136900739128,0.0012680291458459305,415,0.08318336332733453,0.09923565030978827,False,False,False,False
ENSMFAG00000039836,1.283024492582699,19384,0.001630021322438509,0.0012704422258630569,984,0.19696060787842432,0.22202385035426586,False,False,False,False
ENSMFAG00000039841,7.02010614222082,9006,0.7129451832370642,0.10155759736283157,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ENSMFAG00000039848,2.484024859827217,16014,0.02456292832889719,0.009888348496784822,29,0.00599880023995201,0.008445874177990913,True,True,False,False
ENSMFAG00000039851,1.1961331451618962,19648,0.00962465817776979,0.008046467281145065,1124,0.22495500899820037,0.25102096688500386,False,False,False,False
ENSMFAG00000039857,0.7947680559109628,20828,0.00039168479393963664,0.000492819060033984,2747,0.5494901019796041,0.5733579663726314,False,False,False,False
ENSMFAG00000039861,30.188045147781295,1255,1.664763973043751,0.05514645492987985,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ENSMFAG00000039862,4.746970124441369,11605,0.10691918654898544,0.022523659571560207,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ENSMFAG00000039863,1.208100187611059,19611,0.0019026020467869202,0.0015748610796487783,978,0.1957608478304339,0.2208092686512151,False,False,False,False
ENSMFAG00000039865,4.081804304589794,12649,0.19293171040706347,0.04726627128401966,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ENSMFAG00000039878,0.8958102879590716,20558,0.006837826898541063,0.007633109412057338,2415,0.48310337932413516,0.5088166054146386,False,False,False,False
ENSMFAG00000039879,11.130211141398393,6016,0.9960902588237919,0.08949427237878368,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ENSMFAG00000039886,3.411196012947678,13888,0.04135718629399346,0.012123944805592056,3,0.0007998400319936012,0.0012624514724094806,True,True,False,False
ENSMFAG00000039890,0.8399996970676985,20720,0.0010503367174567264,0.00125039130505199,2726,0.5452909418116376,0.5693328254794278,False,False,False,False
ENSMFAG00000039899,1.674563072336721,18250,0.00793321313663843,0.0047374724320998875,406,0.08138372325534893,0.09717968232651276,False,False,False,False
ENSMFAG00000039909,2.1477051589362954,16884,0.04303877765666994,0.020039415559691798,227,0.04559088182363527,0.05657216970304255,False,False,False,False
ENSMFAG00000039911,2.9658527468923173,14842,0.002986540144263199,0.0010069651936917834,7,0.0015996800639872025,0.0024320704200445345,True,True,False,False
ENSMFAG00000039914,1.2229278833780932,19578,0.0022568655425879865,0.001845450859354885,1046,0.20935812837432513,0.2348504827922384,False,False,False,False
ENSMFAG00000039929,2.6008892637334484,15709,0.03407351567907094,0.013100707571558616,25,0.005198960207958408,0.007386955395806084,True,True,False,False
ENSMFAG00000039934,1.0626859058526088,20050,0.002334621307709918,0.0021968962493934337,1643,0.3287342531493701,0.3568822985741045,False,False,False,False
ENSMFAG00000039944,2.1396124322998196,16912,0.03868930953651341,0.018082381442700288,117,0.023595280943811237,0.030464935495799185,True,False,False,False
ENSMFAG00000039954,8.348028061563824,7871,0.14926139435153868,0.01787982859790449,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ENSMFAG00000039961,7.810824527219902,8293,0.30391184922815206,0.03890905115853086,0,0.0001999600079984003,0.00034656322614856324,True,True,False,False
ENSMFAG00000039972,0.5670495610615103,21334,0.00034001513460079843,0.0005996115462442012,3943,0.7886422715456909,0.8006137902854212,False,False,False,False
ENSMFAG00000039976,1.1588251394410534,19754,0.009790516262927231,0.00844864711806147,1378,0.275744851029794,0.30352245019627005,False,False,False,False
ENSMFAG00000039979,1.064864289480788,20041,0.002057585528896948,0.0019322414138399704,1707,0.34153169366126773,0.36959040794348247,False,False,False,False
