sample_id,donor,truth,pred_top1,pred_top3,hit1,hit3,panel_genes
qbt-L-46d_BRRL200004690-1A,qbt,Lateral Prefrontal Cortex,Temporal,Temporal | Lateral Prefrontal Cortex | Orbitomedial Prefrontal Cortex (OMPFC),0,1,200
qbt-R-F2_BRRL200004708-1A,qbt,Frontal (agranular frontal motor areas),Frontal (agranular frontal motor areas),"Frontal (agranular frontal motor areas) | Parietal, and Parieto-occipital region | Temporal",1,1,200
qbt-L-LIpd_BRRL200004705-1A,qbt,"Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region","Parietal, and Parieto-occipital region | Occipital/Temporal | Temporal",1,1,200
qbt-R-3a-b-7-27_BRRL200004714-1A,qbt,"Parietal, and Parieto-occipital region",Temporal,"Temporal | Parietal, and Parieto-occipital region | Occipital/Temporal",0,1,200
qbt-R-VIP-7-29_BRRL200004938-1A,qbt,"Parietal, and Parieto-occipital region",Temporal,"Temporal | Parietal, and Parieto-occipital region | Lateral Prefrontal Cortex",0,1,200
qbt-R-LIpd-7-29_BRRL200004939-1A,qbt,"Parietal, and Parieto-occipital region",Temporal,"Temporal | Parietal, and Parieto-occipital region | Lateral Prefrontal Cortex",0,1,200
qbt-R-7a-7-29_BRRL200004940-1A,qbt,"Parietal, and Parieto-occipital region",Temporal,Temporal | Operculum/Insula | Lateral Prefrontal Cortex,0,0,200
qbt-R-MST-7-29_BRRL200004941-1A,qbt,Occipital/Temporal,Temporal,"Temporal | Parietal, and Parieto-occipital region | Lateral Prefrontal Cortex",0,0,200
qbt-R-MT-7-29_BRRL200004942-1A,qbt,Occipital/Temporal,Temporal,"Temporal | Parietal, and Parieto-occipital region | Occipital/Temporal",0,1,200
qbt-R-FST-7-29_BRRL200004943-1A,qbt,Occipital/Temporal,Temporal,"Temporal | Occipital/Temporal | Parietal, and Parieto-occipital region",0,1,200
qbt-R-V4v-7-29_BRRL200004944-1A,qbt,Occipital/Temporal,Temporal,Temporal | Operculum/Insula | Orbitomedial Prefrontal Cortex (OMPFC),0,0,200
