route,sample_id,label,true_network,network_beam,network_top1_hit,network_top3_hit,pred_top1,pred_top2,pred_top3,true_rank,hit1,hit3,true_resolution_group,pred_group_top1,pred_group_top2,pred_group_top3,group_true_rank,group_hit1,group_hit3,pred_top1_resolution_tier,pred_top1_resolution_reasons,pred_top1_group_members,truth_resolution_tier,truth_group_members,n_candidate_regions,n_candidate_groups,monkey_id,route_family
top3_network_beam_local_region_candidates,xz-L-1-2-8-2_BRRL200004962-1A,1-2,"Parietal, and Parieto-occipital region","Temporal | Parietal, and Parieto-occipital region | Occipital/Temporal",0,1,TEa,PGa,7a,8,0,0,"Parietal, and Parieto-occipital region::1-2 + 7a + 7b + 7op + LIPd",TEa,Temporal::IPa + PGa,"Parietal, and Parieto-occipital region::1-2 + 7a + 7b + 7op + LIPd",3,0,1,low_resolution,training_n<8;nearest_centroid_corr>=0.95,TEa,low_resolution,1-2 | 7a | 7b | 7op | LIPd,46,18,xz,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,xz-L-F2-8-2_BRRL200004964-1A,F2,Frontal (agranular frontal motor areas),"Parietal, and Parieto-occipital region | Frontal (agranular frontal motor areas) | Lateral Prefrontal Cortex",0,1,F1,F2,3a/b,2,0,1,Frontal (agranular frontal motor areas)::F1 + F2 + F5,Frontal (agranular frontal motor areas)::F1 + F2 + F5,3a/b,"Parietal, and Parieto-occipital region::1-2 + 5 + 7a + 7b + 7op + LIPv + VIP",1,1,1,low_resolution,nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,F1 | F2 | F5,low_resolution,F1 | F2 | F5,30,11,xz,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,xz-L-24c-8-11_BRRL200004974-1A,24c,Cingulate gyrus,Cingulate gyrus | Orbitomedial Prefrontal Cortex (OMPFC) | Lateral Prefrontal Cortex,1,1,12o,11l,11m,8,0,0,24c,Orbitomedial Prefrontal Cortex (OMPFC)::12o + 13a + 13l + 13m + 14c + 25 + 32,Orbitomedial Prefrontal Cortex (OMPFC)::11l + 11m + 12m,Orbitomedial Prefrontal Cortex (OMPFC)::10m + 13b,6,0,0,low_resolution,training_n<8;nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,12o | 13a | 13l | 13m | 14c | 25 | 32,low_resolution,24c,36,13,xz,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,xz-L-9m-8-12_BRRL200004975-1A,9m,Lateral Prefrontal Cortex,Orbitomedial Prefrontal Cortex (OMPFC) | Cingulate gyrus | Lateral Prefrontal Cortex,0,1,12o,11l,11m,5,0,0,Lateral Prefrontal Cortex::8Bd + 8Bm + 8Bs + 9m,Orbitomedial Prefrontal Cortex (OMPFC)::12o + 13a + 13l + 13m + 14c + 25 + 32,Orbitomedial Prefrontal Cortex (OMPFC)::11l + 11m + 12m,Lateral Prefrontal Cortex::8Bd + 8Bm + 8Bs + 9m,3,0,1,low_resolution,training_n<8;nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,12o | 13a | 13l | 13m | 14c | 25 | 32,low_resolution,8Bd | 8Bm | 8Bs | 9m,36,13,xz,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,xz-L-9d-8-12_BRRL200004976-1A,9d,Lateral Prefrontal Cortex,Orbitomedial Prefrontal Cortex (OMPFC) | Cingulate gyrus | Lateral Prefrontal Cortex,0,1,9m,11l,9d,3,0,1,9d,Lateral Prefrontal Cortex::8Bd + 8Bm + 8Bs + 9m,Orbitomedial Prefrontal Cortex (OMPFC)::11l + 11m + 12m,9d,3,0,1,low_resolution,training_n<8;nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,8Bd | 8Bm | 8Bs | 9m,low_resolution,9d,36,13,xz,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,xz-L-46d-8-12_BRRL200004977-1A,46d,Lateral Prefrontal Cortex,"Orbitomedial Prefrontal Cortex (OMPFC) | Parietal, and Parieto-occipital region | Lateral Prefrontal Cortex",0,1,46v,46d,12m,2,0,1,Lateral Prefrontal Cortex::10o + 12r + 44 + 45 + 46d + 46v + 8A + 8Bs,Lateral Prefrontal Cortex::10o + 12r + 44 + 45 + 46d + 46v + 8A + 8Bs,Orbitomedial Prefrontal Cortex (OMPFC)::10m + 11l + 11m + 12m + 13b + 14r + 32,Orbitomedial Prefrontal Cortex (OMPFC)::13l + 13m,1,1,1,low_resolution,training_n<8;nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,10o | 12r | 44 | 45 | 46d | 46v | 8A | 8Bs,low_resolution,10o | 12r | 44 | 45 | 46d | 46v | 8A | 8Bs,36,10,xz,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,xz-L-46v-8-12_BRRL200004978-1A,46v,Lateral Prefrontal Cortex,"Temporal | Orbitomedial Prefrontal Cortex (OMPFC) | Parietal, and Parieto-occipital region",0,0,12m,11l,PGa,111,0,0,outside_network_beam,Orbitomedial Prefrontal Cortex (OMPFC)::11l + 11m + 12m,Temporal::A1 + CL + CM + IPa + ML + PGa + Tpt,"Parietal, and Parieto-occipital region::1-2 + 5 + 7a + 7b + 7m + 7op + LIPv + VIP",111,0,0,low_resolution,training_n<8;nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,11l | 11m | 12m,outside_network_beam,,50,19,xz,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,xz-L-12r-8-12_BRRL200004979-1A,12r,Lateral Prefrontal Cortex,"Parietal, and Parieto-occipital region | Temporal | Orbitomedial Prefrontal Cortex (OMPFC)",0,0,7a,PGa,7op,111,0,0,outside_network_beam,"Parietal, and Parieto-occipital region::1-2 + 5 + 7a + 7b + 7m + 7op + LIPv + VIP",Temporal::A1 + CL + CM + IPa + ML + PGa + Tpt,Orbitomedial Prefrontal Cortex (OMPFC)::11l + 11m + 12m,111,0,0,low_resolution,nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,1-2 | 5 | 7a | 7b | 7m | 7op | LIPv | VIP,outside_network_beam,,50,19,xz,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,xz-L-12m-8-12_BRRL200004980-1A,12m,Orbitomedial Prefrontal Cortex (OMPFC),"Parietal, and Parieto-occipital region | Temporal | Orbitomedial Prefrontal Cortex (OMPFC)",0,1,PGa,7a,7op,7,0,0,Orbitomedial Prefrontal Cortex (OMPFC)::11l + 11m + 12m,Temporal::A1 + CL + CM + IPa + ML + PGa + Tpt,"Parietal, and Parieto-occipital region::1-2 + 5 + 7a + 7b + 7m + 7op + LIPv + VIP",TEa,4,0,0,low_resolution,training_n<8;nearest_centroid_corr>=0.95;fold_local_merged_confusion_group,A1 | CL | CM | IPa | ML | PGa | Tpt,low_resolution,11l | 11m | 12m,50,19,xz,hybrid_projected_network_logcpm_exact
top3_network_beam_local_region_candidates,xz-L-13b-8-12_BRRL200004981-1A,13b,Orbitomedial Prefrontal Cortex (OMPFC),Orbitomedial Prefrontal Cortex (OMPFC) | Temporal | Operculum/Insula,1,1,11m,13b,12o,2,0,1,Orbitomedial Prefrontal Cortex (OMPFC)::10m + 13b + 14r,11m,Orbitomedial Prefrontal Cortex (OMPFC)::10m + 13b + 14r,Orbitomedial Prefrontal Cortex (OMPFC)::11l + 12m + 12o + 13l + 13m + 32,2,0,1,low_resolution,training_n<8;nearest_centroid_corr>=0.95,11m,low_resolution,10m | 13b | 14r,51,21,xz,hybrid_projected_network_logcpm_exact
