reference,family,marker_gene
Siletti2023_human,Excitatory neuron,BARHL1
Siletti2023_human,Excitatory neuron,BARHL2
Siletti2023_human,Excitatory neuron,BARX2
Siletti2023_human,Excitatory neuron,BHLHE22
Siletti2023_human,Excitatory neuron,BMP5
Siletti2023_human,Excitatory neuron,BNC2
Siletti2023_human,Excitatory neuron,BX255923.2
Siletti2023_human,Excitatory neuron,C12ORF42
Siletti2023_human,Excitatory neuron,C14ORF39
Siletti2023_human,Excitatory neuron,C16ORF74
Siletti2023_human,Excitatory neuron,C1QL1
Siletti2023_human,Excitatory neuron,C22ORF34
Siletti2023_human,Excitatory neuron,C3ORF52
Siletti2023_human,Excitatory neuron,C5AR2
Siletti2023_human,Excitatory neuron,C5ORF58
Siletti2023_human,Excitatory neuron,C6ORF141
Siletti2023_human,Excitatory neuron,CABP7
Siletti2023_human,Excitatory neuron,CALB2
Siletti2023_human,Excitatory neuron,CALCA
Siletti2023_human,Excitatory neuron,CALCB
Siletti2023_human,Excitatory neuron,CALCR
Siletti2023_human,Excitatory neuron,CAPN8
Siletti2023_human,Excitatory neuron,CARM1P1
Siletti2023_human,Excitatory neuron,CARTPT
Siletti2023_human,Excitatory neuron,CASC6
Siletti2023_human,Excitatory neuron,CASP4LP
Siletti2023_human,Excitatory neuron,CASQ2
Siletti2023_human,Excitatory neuron,CAV1
Siletti2023_human,Excitatory neuron,CBLN1
Siletti2023_human,Excitatory neuron,CBLN2
Siletti2023_human,Excitatory neuron,CBLN3
Siletti2023_human,Excitatory neuron,CCDC141
Siletti2023_human,Excitatory neuron,CCDC168
Siletti2023_human,Excitatory neuron,CCDC68
Siletti2023_human,Excitatory neuron,CCDC80
Siletti2023_human,Excitatory neuron,CCN1
Siletti2023_human,Excitatory neuron,CCN2
Siletti2023_human,Excitatory neuron,CCN4
Siletti2023_human,Excitatory neuron,CD200R1L
Siletti2023_human,Excitatory neuron,CD200R1L-AS1
Siletti2023_human,Excitatory neuron,CD24
Siletti2023_human,Excitatory neuron,CD36
Siletti2023_human,Excitatory neuron,CD53
Siletti2023_human,Excitatory neuron,CDCP1
Siletti2023_human,Excitatory neuron,CDH15
Siletti2023_human,Excitatory neuron,CDH23
Siletti2023_human,Excitatory neuron,CDH24
Siletti2023_human,Excitatory neuron,CDHR1
Siletti2023_human,Excitatory neuron,CELSR1
Siletti2023_human,Excitatory neuron,CERS3-AS1
Siletti2023_human,Excitatory neuron,CHAT
Siletti2023_human,Excitatory neuron,CHRNA1
Siletti2023_human,Excitatory neuron,CHRNA2
Siletti2023_human,Excitatory neuron,CHRNB3
Siletti2023_human,Excitatory neuron,CLEC19A
Siletti2023_human,Excitatory neuron,CLEC3A
Siletti2023_human,Excitatory neuron,CLPSL1
Siletti2023_human,Excitatory neuron,CNBD1
Siletti2023_human,Excitatory neuron,CNGA3
Siletti2023_human,Excitatory neuron,CNGB1
Siletti2023_human,Excitatory neuron,COBLL1
Siletti2023_human,Excitatory neuron,COL15A1
Siletti2023_human,Excitatory neuron,COL22A1
Siletti2023_human,Excitatory neuron,COL24A1
Siletti2023_human,Excitatory neuron,COL4A4
Siletti2023_human,Excitatory neuron,COL5A1
Siletti2023_human,Excitatory neuron,COL5A2
Siletti2023_human,Excitatory neuron,COL6A2
Siletti2023_human,Excitatory neuron,COL6A3
Siletti2023_human,Excitatory neuron,COL6A5
Siletti2023_human,Excitatory neuron,COL8A1
