"gene_id","gene_symbol","gene_type","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMFAG00000032710","ENSMFAG00000032710","protein_coding",16.5051255517915,0.0850549152035721,0.250106785653648,4.28711695085349,0.891519646763127,0.914587837988781
"ENSMFAG00000045237","AKAP8L","protein_coding",9651.36008474283,-0.0314711793423778,0.120144990272559,4.28686549799045,0.891537919479612,0.914587837988781
"ENSMFAG00000009008","MIR30A","miRNA",20.1473386608952,-0.0140449681800839,0.414851502215025,4.28056008510566,0.891995649109351,0.915017168895985
"ENSMFAG00000037112","C10orf95","protein_coding",60.0593678623091,0.135846188342612,0.176692175780131,4.27309327818261,0.89253650337764,0.915520903007317
"ENSMFAG00000039959","CLCN3","protein_coding",18430.0092550896,-0.0384063930510779,0.115348710564265,4.27269673912792,0.89256519051067,0.915520903007317
"ENSMFAG00000045707","TTC33","protein_coding",4986.45499241408,-0.0240577268156356,0.141492978612907,4.26993546021163,0.892764851178446,0.915685441721736
"ENSMFAG00000035175","ENSMFAG00000035175","protein_coding",22.7267187466917,0.133872662455452,0.253866256325213,4.26412194476421,0.89318463481698,0.916075730390143
"ENSMFAG00000039422","NDOR1","protein_coding",3145.5275856089,0.0687706213738321,0.113773496216078,4.25864672082912,0.893579275833427,0.91644019888653
"ENSMFAG00000045930","UBR3","protein_coding",22684.1201233913,-0.0931262313266519,0.114806434645727,4.25750767295949,0.893661288396212,0.916484022838331
"ENSMFAG00000031923","RABL3","protein_coding",1111.41905441641,-0.115194664378981,0.114885099435161,4.25695922900718,0.89370076616971,0.916484223792603
"ENSMFAG00000020861","RF00012","snoRNA",1.10312303911673,-0.339672912491928,0.769064510204945,4.25011393951834,0.894192912646613,0.916925273541624
"ENSMFAG00000038832","PIAS1","protein_coding",4555.42508979621,-0.0433003185187856,0.137272088756313,4.24988361520946,0.894209453040699,0.916925273541624
"ENSMFAG00000038726","ENSMFAG00000038726","protein_coding",4.63425142839464,0.317894169465206,0.421217320375289,4.24876430500285,0.894289817069797,0.916967378133753
"ENSMFAG00000019868","RF00017","misc_RNA",1.42862136259782,0.0871893026590613,0.766166101613349,4.24234522937851,0.894750130085693,0.917399045705529
"ENSMFAG00000046037","DYNC1I2","protein_coding",9218.57580619717,-0.0529767661483294,0.0649599639148313,4.2374694100165,0.895099134911276,0.917686171211142
"ENSMFAG00000044642","ENSMFAG00000044642","protein_coding",2.1471369381,-0.00573138569464462,1.03551572901841,4.23730681850535,0.895110763455547,0.917686171211142
"ENSMFAG00000030874","ENSMFAG00000030874","protein_coding",3.98972780133001,-0.159733740026128,0.471354101437033,4.23678377972942,0.895148167006265,0.917686171211142
"ENSMFAG00000046235","ENSMFAG00000046235","protein_coding",1.49555839526871,0.094820939768914,0.728772731039677,4.23358288569258,0.895376930343765,0.917880362135875
"ENSMFAG00000012799","RF00017","misc_RNA",44.219134963601,0.109084191774594,0.325475826600256,4.22961026826817,0.895660515087589,0.918090154638124
