"gene_id","highest_network","pseudobulk_log2_effect_vs_other_network_mean","gene_symbol","gene_type"
"ENSMFAG00000010968","Hippocampal formation",1.0323542740196,"ENSMFAG00000010968","protein_coding"
"ENSMFAG00000034332","Lateral Prefrontal Cortex",0.164646304063909,"RABGAP1L","protein_coding"
"ENSMFAG00000041602","Lateral Prefrontal Cortex",0.543130182202961,"ENSMFAG00000041602","protein_coding"
"ENSMFAG00000040713","Orbitomedial Prefrontal Cortex (OMPFC)",0.806033973473565,"RF00026","snRNA"
"ENSMFAG00000000624","Lateral Prefrontal Cortex",0.282178405782821,"CACYBP","protein_coding"
"ENSMFAG00000005783","Occipital/Temporal",0.550839005873312,"RF00026","snRNA"
"ENSMFAG00000044095","Lateral Prefrontal Cortex",0.383916892203386,"MRPS14","protein_coding"
"ENSMFAG00000021295","Occipital/Temporal",0.819732915007541,"RF00019","misc_RNA"
"ENSMFAG00000001813","Occipital/Temporal",0.218851505936781,"TNN","protein_coding"
"ENSMFAG00000004594","Subcortical",0.936872880529831,"KIAA0040","protein_coding"
"ENSMFAG00000004635","Hippocampal formation",0.317790838465802,"ENSMFAG00000004635","protein_coding"
"ENSMFAG00000038286","Hippocampal formation",0.371637151514987,"TNR","protein_coding"
"ENSMFAG00000035358","Temporal",0.139582282914098,"COP1","protein_coding"
"ENSMFAG00000005378","Occipital/Temporal",0.522720312556745,"RF00565","scaRNA"
"ENSMFAG00000008400","Hippocampal formation",0.298201778015233,"ENSMFAG00000008400","protein_coding"
"ENSMFAG00000011805","Cingulate gyrus",0.617004999553706,"RF00066","snRNA"
"ENSMFAG00000040580","Hippocampal formation",1.43408039186272,"PAPPA2","protein_coding"
"ENSMFAG00000003043","Hippocampal formation",0.427717462688557,"ASTN1","protein_coding"
"ENSMFAG00000009243","Parietal, and Parieto-occipital region",0.880372428273103,"MIR488","miRNA"
"ENSMFAG00000036550","Operculum/Insula",0.324960008659991,"BRINP2","protein_coding"
"ENSMFAG00000040538","Parietal, and Parieto-occipital region",0.945015571720509,"SEC16B","protein_coding"
"ENSMFAG00000046625","Cingulate gyrus",0.492138197281121,"ENSMFAG00000046625","lincRNA"
"ENSMFAG00000032705","Lateral Prefrontal Cortex",0.161201041072369,"RASAL2","protein_coding"
"ENSMFAG00000040960","Subcortical",0.877919296217541,"CLEC20A","protein_coding"
"ENSMFAG00000046254","Orbitomedial Prefrontal Cortex (OMPFC)",0.556705878505472,"TEX35","protein_coding"
"ENSMFAG00000016665","Subcortical",1.13051291834251,"RF00001","rRNA"
"ENSMFAG00000001541","Hippocampal formation",0.59464173608481,"RALGPS2","protein_coding"
"ENSMFAG00000031474","Subcortical",0.583084361502872,"ANGPTL1","protein_coding"
"ENSMFAG00000036425","Operculum/Insula",0.104004701143854,"FAM20B","protein_coding"
"ENSMFAG00000041376","Hippocampal formation",0.540905822801378,"TOR3A","protein_coding"
"ENSMFAG00000036564","Hippocampal formation",0.353691524570932,"ABL2","protein_coding"
"ENSMFAG00000029668","Subcortical",0.470851800400585,"ENSMFAG00000029668","protein_coding"
"ENSMFAG00000037136","Subcortical",0.510297704029821,"SOAT1","protein_coding"
"ENSMFAG00000042963","Subcortical",1.14754761800039,"AXDND1","protein_coding"
"ENSMFAG00000034904","Hippocampal formation",1.98408412930309,"NPHS2","protein_coding"
"ENSMFAG00000045587","Subcortical",1.0067231448796,"TDRD5","protein_coding"
"ENSMFAG00000037711","Subcortical",3.51679187361541,"FAM163A","protein_coding"
"ENSMFAG00000042897","Subcortical",0.148592504186833,"TOR1AIP2","protein_coding"
"ENSMFAG00000031398","Cingulate gyrus",0.0941405095383381,"TOR1AIP1","protein_coding"
"ENSMFAG00000008333","Occipital/Temporal",0.521907769721546,"RF00017","misc_RNA"
"ENSMFAG00000037570","Occipital/Temporal",0.260749622164647,"CEP350","protein_coding"
"ENSMFAG00000039984","Hippocampal formation",0.410444819289816,"QSOX1","protein_coding"
"ENSMFAG00000040765","Cingulate gyrus",0.356747279844258,"LHX4","protein_coding"
"ENSMFAG00000036354","Lateral Prefrontal Cortex",0.151511967569389,"ACBD6","protein_coding"
"ENSMFAG00000014246","Operculum/Insula",0.468606054388984,"RF00026","snRNA"
"ENSMFAG00000036802","Occipital/Temporal",0.184804905550775,"XPR1","protein_coding"
"ENSMFAG00000033722","Hippocampal formation",0.352525213866592,"KIAA1614","protein_coding"
