"gene_symbol","fisher_score","gene_index","gene_id","gene_type","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","highest_network","pseudobulk_log2_effect_vs_other_network_mean","lrt_tested","lrt_fdr_lt_0_05"
"MAFB",1.43996193534432,12963,"ENSMFAG00000023841","protein_coding",3401.05217052124,0.444276656720766,0.126153553385723,415.845152524568,5.68487283506892e-84,9.0227053139451e-82,"Occipital/Temporal",0.735080275276578,TRUE,TRUE
"MET",1.43813593437907,13271,"ENSMFAG00000028602","protein_coding",3327.43143982928,3.12133536763648,0.375490345939371,208.873016962181,4.55824296779234e-40,1.09187234785999e-38,"Occipital/Temporal",2.29880195412474,TRUE,TRUE
"SLC18A3",1.43783068092377,18068,"ENSMFAG00000008697","protein_coding",101.796542276875,0.0676361988545606,0.749449398422423,317.83993802812,4.26603421079458e-63,3.09102000534312e-61,"Subcortical",6.95872139080098,TRUE,TRUE
"SYNDIG1L",1.43751246363579,19084,"ENSMFAG00000039919","protein_coding",6207.49993914218,0.111600195216099,0.294147203670552,853.322196807741,7.02513372112957e-178,1.82114883164082e-174,"Subcortical",4.73840871553742,TRUE,TRUE
"HRH1",1.42874594579699,11501,"ENSMFAG00000030336","protein_coding",1905.31154370141,-0.402008546784588,0.143748273140955,225.805112190259,1.25722644374229e-43,3.71295571632295e-42,"Orbitomedial Prefrontal Cortex (OMPFC)",0.736548240827014,TRUE,TRUE
"CDH12",1.42751629221445,2333,"ENSMFAG00000030271","protein_coding",4732.82068447319,0.148600848892396,0.150724739526317,133.561564462486,2.19342638986131e-24,2.0643336467065e-23,"Parietal, and Parieto-occipital region",0.48645949235028,TRUE,TRUE
"ZSCAN31",1.42466687650588,21643,"ENSMFAG00000001436","protein_coding",1362.40950393433,0.263886553961985,0.1062646089987,270.909133764299,3.79966971757244e-53,1.81660029058776e-51,"Occipital/Temporal",0.691096706099449,TRUE,TRUE
"ENSMFAG00000040743",1.42275388442137,8152,"ENSMFAG00000040743","protein_coding",81296.1232565781,0.0921517754657561,0.154128279608563,124.419939401448,1.6601280595047e-22,1.36333853418881e-21,"Hippocampal formation",0.967240106237785,TRUE,TRUE
"RHEBL1",1.42256194438489,17075,"ENSMFAG00000035227","protein_coding",431.600141274559,0.08002565651478,0.0781029652408471,767.5689477379,2.02838673373191e-159,2.78378181674702e-156,"Lateral Prefrontal Cortex",0.652383476804953,TRUE,TRUE
"KCNK12",1.41931594077341,12145,"ENSMFAG00000019146","protein_coding",8678.03442880028,0.404692251084006,0.0958947642552394,390.06546389034,1.80267003343731e-78,2.40331968857862e-76,"Occipital/Temporal",0.581157704770629,TRUE,TRUE
"ABCA1",1.41770293845343,24,"ENSMFAG00000002145","protein_coding",5991.38377588592,0.204291519041649,0.100644611480472,527.206376043066,8.5517652415669e-108,2.66028313134663e-105,"Subcortical",1.41445807987541,TRUE,TRUE
"NEUROD2",1.40618086992182,14357,"ENSMFAG00000029472","protein_coding",7952.28328739946,-0.296060583567484,0.197678664626947,88.1540918416722,3.8171306584525e-15,1.87884969182184e-14,"Hippocampal formation",1.35225408918714,TRUE,TRUE
"MFSD4A",1.40274969072659,13324,"ENSMFAG00000039412","protein_coding",23242.4493893746,0.22905059702297,0.131859358842287,90.4105101760797,1.34676317718417e-15,6.83666920950478e-15,"Hippocampal formation",0.280838337303241,TRUE,TRUE
"PPL",1.39011403783207,15840,"ENSMFAG00000000780","protein_coding",6374.72090016917,-0.013444489082188,0.183511118452693,192.544402086337,1.20790704128633e-36,2.35829951299175e-35,"Occipital/Temporal",0.993852389349865,TRUE,TRUE
"USP43",1.38326686189813,20620,"ENSMFAG00000038797","protein_coding",3828.80926599863,-0.060155215108565,0.12160230610948,312.952809609431,4.65423075286188e-62,3.26089662747809e-60,"Operculum/Insula",0.553886739578898,TRUE,TRUE
