gene_index,fisher_score,between_variance,within_variance,gene_symbol
18380,1.077871428971556,0.0605788689259881,0.056202304392718457,SLITRK1
17498,1.0772290299696332,0.05675421182675993,0.052685361678444106,SALL2
2437,1.0754677160063781,0.08535695752889115,0.0793672794671856,CEMIP2
10478,1.0751213806108513,0.18890115351834105,0.17570215435563133,FSTL4
3951,1.0743598476084688,0.49842125387193764,0.4639239303645121,ECEL1
8138,1.0735386381680267,0.2443623588290805,0.22762324466559847,ENSMFAG00000040641
21047,1.0732698018524636,0.07983002122696575,0.07438018879920143,ZBTB18
5789,1.0730596611742844,0.13548834360370593,0.1262635599635159,ENSMFAG00000018969
10509,1.072971164914826,0.19350652951331535,0.18034642971879355,FXYD6
1371,1.0727050522251198,0.09953073379320206,0.09278479938142759,BMPER
261,1.0724856184863807,0.14562062089406097,0.13577861339970407,ADAMTSL3
21012,1.0724261792461103,0.05044340446193745,0.047036704916263924,YPEL4
