GeneID,Gene.name,Gene.type,M20,M4
ENSMFAG00000015798,ENSMFAG00000015798,protein_coding,green,M4
ENSMFAG00000015919,ENSMFAG00000015919,protein_coding,purple,M4
ENSMFAG00000015960,WDR83,protein_coding,lightcyan,M4
ENSMFAG00000015999,ENSMFAG00000015999,protein_coding,green,M4
ENSMFAG00000016219,HSD3B7,protein_coding,green,M4
ENSMFAG00000016338,TMEM99,protein_coding,purple,M4
ENSMFAG00000016428,ENSMFAG00000016428,protein_coding,purple,M4
ENSMFAG00000016787,LINGO3,protein_coding,green,M4
ENSMFAG00000016818,ENSMFAG00000016818,protein_coding,green,M4
ENSMFAG00000017282,ZNF414,protein_coding,lightcyan,M4
ENSMFAG00000017384,ENSMFAG00000017384,protein_coding,midnightblue,M4
ENSMFAG00000017496,ENSMFAG00000017496,protein_coding,green,M4
ENSMFAG00000018166,LAMTOR2,protein_coding,purple,M4
ENSMFAG00000018395,FJX1,protein_coding,green,M4
ENSMFAG00000018513,CLDN10,protein_coding,purple,M4
ENSMFAG00000018597,ETFA,protein_coding,purple,M4
ENSMFAG00000019292,ENSMFAG00000019292,protein_coding,purple,M4
ENSMFAG00000019343,TOR4A,protein_coding,green,M4
ENSMFAG00000019461,ENSMFAG00000019461,protein_coding,midnightblue,M4
ENSMFAG00000019478,RASSF7,protein_coding,green,M4
ENSMFAG00000019568,TMEM121,protein_coding,green,M4
ENSMFAG00000019633,TRIM3,protein_coding,lightcyan,M4
ENSMFAG00000019772,ARF5,protein_coding,green,M4
ENSMFAG00000020148,ENSMFAG00000020148,protein_coding,purple,M4
ENSMFAG00000020574,ENSMFAG00000020574,protein_coding,purple,M4
ENSMFAG00000021083,ATRAID,protein_coding,purple,M4
ENSMFAG00000021112,ENSMFAG00000021112,protein_coding,green,M4
ENSMFAG00000021465,EPOP,protein_coding,green,M4
ENSMFAG00000021544,RCC1L,protein_coding,green,M4
ENSMFAG00000021547,ENSMFAG00000021547,protein_coding,midnightblue,M4
ENSMFAG00000021581,FAM50A,protein_coding,lightcyan,M4
ENSMFAG00000021762,TUBB4B,protein_coding,green,M4
ENSMFAG00000022092,VWA2,protein_coding,green,M4
ENSMFAG00000022188,ENSMFAG00000022188,protein_coding,green,M4
ENSMFAG00000022693,ENSMFAG00000022693,miRNA,purple,M4
ENSMFAG00000022844,ALDH2,protein_coding,midnightblue,M4
ENSMFAG00000023079,GCNT1,protein_coding,cyan,M4
ENSMFAG00000023109,ENSMFAG00000023109,protein_coding,green,M4
ENSMFAG00000023146,HIST3H2BB,protein_coding,purple,M4
ENSMFAG00000023588,ARHGEF40,protein_coding,green,M4
ENSMFAG00000023828,HILPDA,protein_coding,purple,M4
ENSMFAG00000024125,GPAA1,protein_coding,green,M4
ENSMFAG00000024195,ENSMFAG00000024195,protein_coding,purple,M4
ENSMFAG00000024228,ENSMFAG00000024228,protein_coding,purple,M4
ENSMFAG00000024249,RPL35A,protein_coding,midnightblue,M4
ENSMFAG00000024306,ZNF703,protein_coding,green,M4
ENSMFAG00000024524,ZFHX2,protein_coding,cyan,M4
ENSMFAG00000024597,ELOB,protein_coding,green,M4
ENSMFAG00000024753,MLC1,protein_coding,green,M4
ENSMFAG00000024802,AP2M1,protein_coding,green,M4
ENSMFAG00000025361,ENSMFAG00000025361,protein_coding,midnightblue,M4
ENSMFAG00000025723,ENSMFAG00000025723,protein_coding,midnightblue,M4
ENSMFAG00000026005,B3GNT8,protein_coding,green,M4
ENSMFAG00000026422,ENSMFAG00000026422,protein_coding,green,M4
ENSMFAG00000026472,ENSMFAG00000026472,protein_coding,green,M4
ENSMFAG00000026668,ENSMFAG00000026668,protein_coding,green,M4
ENSMFAG00000026741,SCARA3,protein_coding,green,M4
ENSMFAG00000027020,UBE2O,protein_coding,lightcyan,M4
ENSMFAG00000027070,ENSMFAG00000027070,protein_coding,green,M4
ENSMFAG00000027122,EMC6,protein_coding,purple,M4
ENSMFAG00000027135,NEIL2,protein_coding,green,M4
ENSMFAG00000027209,ENSMFAG00000027209,protein_coding,midnightblue,M4
ENSMFAG00000027349,TMEM199,protein_coding,purple,M4
ENSMFAG00000027428,LRSAM1,protein_coding,lightcyan,M4
ENSMFAG00000027526,NDUFS5,protein_coding,purple,M4
