Gene.stable.ID,Gene.name,Gene.type_ensembl,Gene.type_Fig2B
ENSMFAG00000008077,RF00017,misc_RNA,smallRNA
ENSMFAG00000046160,SIRT1,protein_coding,protein_coding
ENSMFAG00000039394,ENSMFAG00000039394,protein_coding,protein_coding
ENSMFAG00000041356,DNAJC12,protein_coding,protein_coding
ENSMFAG00000008868,RF00017,misc_RNA,smallRNA
ENSMFAG00000036669,CTNNA3,protein_coding,protein_coding
ENSMFAG00000030655,ENSMFAG00000030655,protein_coding,protein_coding
ENSMFAG00000027983,ENSMFAG00000027983,protein_coding,protein_coding
ENSMFAG00000002037,LRRTM3,protein_coding,protein_coding
ENSMFAG00000043243,ENSMFAG00000043243,protein_coding,protein_coding
ENSMFAG00000040430,ENSMFAG00000040430,miRNA,smallRNA
ENSMFAG00000031855,ENSMFAG00000031855,protein_coding,protein_coding
ENSMFAG00000001919,ENSMFAG00000001919,protein_coding,protein_coding
ENSMFAG00000025982,ENSMFAG00000025982,protein_coding,protein_coding
ENSMFAG00000000104,ENSMFAG00000000104,protein_coding,protein_coding
ENSMFAG00000030436,REEP3,protein_coding,protein_coding
ENSMFAG00000000341,JMJD1C,protein_coding,protein_coding
ENSMFAG00000046007,ENSMFAG00000046007,protein_coding,protein_coding
ENSMFAG00000037446,MIR1296,miRNA,smallRNA
ENSMFAG00000031882,NRBF2,protein_coding,protein_coding
ENSMFAG00000043070,EGR2,protein_coding,protein_coding
ENSMFAG00000013749,ADO,protein_coding,protein_coding
ENSMFAG00000043939,ENSMFAG00000043939,protein_coding,protein_coding
ENSMFAG00000044758,ZNF365,protein_coding,protein_coding
ENSMFAG00000039047,RTKN2,protein_coding,protein_coding
ENSMFAG00000036687,ARID5B,protein_coding,protein_coding
ENSMFAG00000031452,CABCOCO1,protein_coding,protein_coding
ENSMFAG00000035704,TMEM26,protein_coding,protein_coding
ENSMFAG00000041306,RHOBTB1,protein_coding,protein_coding
ENSMFAG00000009405,RF00004,snRNA,smallRNA
ENSMFAG00000039345,CDK1,protein_coding,protein_coding
ENSMFAG00000033458,ANK3,protein_coding,protein_coding
ENSMFAG00000045197,CCDC6,protein_coding,protein_coding
ENSMFAG00000030324,MRLN,protein_coding,protein_coding
ENSMFAG00000032423,SLC16A9,protein_coding,protein_coding
ENSMFAG00000011194,ENSMFAG00000011194,protein_coding,protein_coding
ENSMFAG00000044652,FAM13C,protein_coding,protein_coding
ENSMFAG00000038572,PHYHIPL,protein_coding,protein_coding
ENSMFAG00000036177,BICC1,protein_coding,protein_coding
ENSMFAG00000037328,TFAM,protein_coding,protein_coding
ENSMFAG00000045061,UBE2D1,protein_coding,protein_coding
ENSMFAG00000037673,CISD1,protein_coding,protein_coding
ENSMFAG00000036357,IPMK,protein_coding,protein_coding
ENSMFAG00000046815,ENSMFAG00000046815,lincRNA,lincRNA
ENSMFAG00000002436,ZWINT,protein_coding,protein_coding
ENSMFAG00000041043,PCDH15,protein_coding,protein_coding
ENSMFAG00000004746,RF00026,snRNA,smallRNA
ENSMFAG00000000420,ENSMFAG00000000420,protein_coding,protein_coding
ENSMFAG00000038444,DKK1,protein_coding,protein_coding
ENSMFAG00000044348,ENSMFAG00000044348,protein_coding,protein_coding
ENSMFAG00000042225,PRKG1,protein_coding,protein_coding
ENSMFAG00000042009,ENSMFAG00000042009,protein_coding,protein_coding
ENSMFAG00000021791,ENSMFAG00000021791,miRNA,smallRNA
ENSMFAG00000034694,ASAH2,protein_coding,protein_coding
ENSMFAG00000002389,SGMS1,protein_coding,protein_coding
ENSMFAG00000000057,ENSMFAG00000000057,protein_coding,protein_coding
ENSMFAG00000000189,MINPP1,protein_coding,protein_coding
ENSMFAG00000038678,ENSMFAG00000038678,protein_coding,protein_coding
ENSMFAG00000041464,PAPSS2,protein_coding,protein_coding
ENSMFAG00000033944,ENSMFAG00000033944,protein_coding,protein_coding
ENSMFAG00000001967,ENSMFAG00000001967,pseudogene,pseudogene
ENSMFAG00000003544,PTEN,protein_coding,protein_coding
ENSMFAG00000034629,RNLS,protein_coding,protein_coding
ENSMFAG00000037866,LIPJ,protein_coding,protein_coding
ENSMFAG00000044740,LIPK,protein_coding,protein_coding
ENSMFAG00000044901,LIPN,protein_coding,protein_coding
ENSMFAG00000001039,LIPM,protein_coding,protein_coding
ENSMFAG00000042098,ANKRD22,protein_coding,protein_coding
ENSMFAG00000002838,STAMBPL1,protein_coding,protein_coding
ENSMFAG00000000205,ACTA2,protein_coding,protein_coding
ENSMFAG00000033260,FAS,protein_coding,protein_coding
ENSMFAG00000023918,RF02116,misc_RNA,smallRNA
ENSMFAG00000046903,ENSMFAG00000046903,lincRNA,lincRNA
ENSMFAG00000035936,LIPA,protein_coding,protein_coding
ENSMFAG00000044215,IFIT2,protein_coding,protein_coding
ENSMFAG00000045508,IFIT3,protein_coding,protein_coding
ENSMFAG00000040940,IFIT1,protein_coding,protein_coding
ENSMFAG00000002755,SLC16A12,protein_coding,protein_coding
ENSMFAG00000032016,PANK1,protein_coding,protein_coding
ENSMFAG00000015886,MIR107,miRNA,smallRNA
ENSMFAG00000039355,KIF20B,protein_coding,protein_coding
ENSMFAG00000046712,ENSMFAG00000046712,lincRNA,lincRNA
ENSMFAG00000001114,HTR7,protein_coding,protein_coding
ENSMFAG00000031109,RPP30,protein_coding,protein_coding
ENSMFAG00000003868,ANKRD1,protein_coding,protein_coding
ENSMFAG00000046503,ENSMFAG00000046503,lincRNA,lincRNA
ENSMFAG00000036587,PCGF5,protein_coding,protein_coding
ENSMFAG00000012546,HECTD2,protein_coding,protein_coding
ENSMFAG00000000348,PPP1R3C,protein_coding,protein_coding
ENSMFAG00000001030,TNKS2,protein_coding,protein_coding
ENSMFAG00000044979,BTAF1,protein_coding,protein_coding
ENSMFAG00000025613,CPEB3,protein_coding,protein_coding
ENSMFAG00000034128,ENSMFAG00000034128,protein_coding,protein_coding
ENSMFAG00000004803,RF00622,ribozyme,smallRNA
ENSMFAG00000034846,RF00019,misc_RNA,smallRNA
ENSMFAG00000041550,2021-03-05 00:00:00,protein_coding,protein_coding
ENSMFAG00000010953,RF00019,misc_RNA,smallRNA
ENSMFAG00000001790,ENSMFAG00000001790,protein_coding,protein_coding
ENSMFAG00000001464,IDE,protein_coding,protein_coding
ENSMFAG00000036607,KIF11,protein_coding,protein_coding
ENSMFAG00000040614,ENSMFAG00000040614,protein_coding,protein_coding
ENSMFAG00000036151,ENSMFAG00000036151,protein_coding,protein_coding
ENSMFAG00000003234,HHEX,protein_coding,protein_coding
ENSMFAG00000000962,EXOC6,protein_coding,protein_coding
ENSMFAG00000039983,CYP26C1,protein_coding,protein_coding
ENSMFAG00000041244,CYP26A1,protein_coding,protein_coding
ENSMFAG00000033444,ENSMFAG00000033444,protein_coding,protein_coding
ENSMFAG00000036842,MYOF,protein_coding,protein_coding
ENSMFAG00000041263,CEP55,protein_coding,protein_coding
ENSMFAG00000042176,FFAR4,protein_coding,protein_coding
ENSMFAG00000042546,RBP4,protein_coding,protein_coding
ENSMFAG00000045757,PDE6C,protein_coding,protein_coding
ENSMFAG00000045302,FRA10AC1,protein_coding,protein_coding
ENSMFAG00000037131,LGI1,protein_coding,protein_coding
ENSMFAG00000009576,ENSMFAG00000009576,protein_coding,protein_coding
ENSMFAG00000039807,SLC35G1,protein_coding,protein_coding
ENSMFAG00000020572,PLCE1,protein_coding,protein_coding
ENSMFAG00000032429,NOC3L,protein_coding,protein_coding
ENSMFAG00000034776,TBC1D12,protein_coding,protein_coding
ENSMFAG00000045798,ENSMFAG00000045798,protein_coding,protein_coding
ENSMFAG00000044053,HELLS,protein_coding,protein_coding
ENSMFAG00000031634,ENSMFAG00000031634,protein_coding,protein_coding
ENSMFAG00000034614,CYP2C75,protein_coding,protein_coding
ENSMFAG00000005983,CYP2C43,protein_coding,protein_coding
ENSMFAG00000034299,CYP2C8,protein_coding,protein_coding
ENSMFAG00000041843,ENSMFAG00000041843,protein_coding,protein_coding
ENSMFAG00000032581,ENSMFAG00000032581,protein_coding,protein_coding
ENSMFAG00000030298,PDLIM1,protein_coding,protein_coding
ENSMFAG00000030641,SORBS1,protein_coding,protein_coding
ENSMFAG00000001272,ALDH18A1,protein_coding,protein_coding
ENSMFAG00000001575,TCTN3,protein_coding,protein_coding
ENSMFAG00000038060,ENTPD1,protein_coding,protein_coding
ENSMFAG00000045985,ENSMFAG00000045985,protein_coding,protein_coding
ENSMFAG00000031765,ENSMFAG00000031765,protein_coding,protein_coding
ENSMFAG00000037933,CCNJ,protein_coding,protein_coding
ENSMFAG00000011553,ENSMFAG00000011553,miRNA,smallRNA
ENSMFAG00000020976,ZNF518A,protein_coding,protein_coding
ENSMFAG00000043139,BLNK,protein_coding,protein_coding
ENSMFAG00000034600,DNTT,protein_coding,protein_coding
ENSMFAG00000043114,OPALIN,protein_coding,protein_coding
ENSMFAG00000002794,TLL2,protein_coding,protein_coding
ENSMFAG00000002926,TM9SF3,protein_coding,protein_coding
ENSMFAG00000046259,PIK3AP1,protein_coding,protein_coding
ENSMFAG00000030024,ENSMFAG00000030024,protein_coding,protein_coding
ENSMFAG00000039632,LCOR,protein_coding,protein_coding
ENSMFAG00000045033,SLIT1,protein_coding,protein_coding
ENSMFAG00000002183,ENSMFAG00000002183,protein_coding,protein_coding
ENSMFAG00000027946,FRAT1,protein_coding,protein_coding
ENSMFAG00000028464,FRAT2,protein_coding,protein_coding
ENSMFAG00000041558,RRP12,protein_coding,protein_coding
ENSMFAG00000003367,PGAM1,protein_coding,protein_coding
ENSMFAG00000001493,EXOSC1,protein_coding,protein_coding
ENSMFAG00000041608,ZDHHC16,protein_coding,protein_coding
ENSMFAG00000044772,MMS19,protein_coding,protein_coding
ENSMFAG00000044920,UBTD1,protein_coding,protein_coding
ENSMFAG00000039302,ANKRD2,protein_coding,protein_coding
ENSMFAG00000003191,PI4K2A,protein_coding,protein_coding
ENSMFAG00000000472,MORN4,protein_coding,protein_coding
ENSMFAG00000043548,AVPI1,protein_coding,protein_coding
ENSMFAG00000031815,ZFYVE27,protein_coding,protein_coding
ENSMFAG00000037089,SFRP5,protein_coding,protein_coding
ENSMFAG00000002194,GOLGA7B,protein_coding,protein_coding
ENSMFAG00000007568,CRTAC1,protein_coding,protein_coding
ENSMFAG00000013049,ENSMFAG00000013049,protein_coding,protein_coding
ENSMFAG00000038303,ENSMFAG00000038303,protein_coding,protein_coding
ENSMFAG00000036084,R3HCC1L,protein_coding,protein_coding
ENSMFAG00000036533,LOXL4,protein_coding,protein_coding
ENSMFAG00000034078,PYROXD2,protein_coding,protein_coding
ENSMFAG00000036329,HPS1,protein_coding,protein_coding
ENSMFAG00000036760,HPSE2,protein_coding,protein_coding
ENSMFAG00000046376,CNNM1,protein_coding,protein_coding
ENSMFAG00000030230,GOT1,protein_coding,protein_coding
ENSMFAG00000003371,SLC25A28,protein_coding,protein_coding
ENSMFAG00000038377,ENTPD7,protein_coding,protein_coding
ENSMFAG00000044256,COX15,protein_coding,protein_coding
ENSMFAG00000031857,CUTC,protein_coding,protein_coding
ENSMFAG00000042907,ABCC2,protein_coding,protein_coding
ENSMFAG00000002036,DNMBP,protein_coding,protein_coding
ENSMFAG00000007369,CPN1,protein_coding,protein_coding
ENSMFAG00000042046,ERLIN1,protein_coding,protein_coding
ENSMFAG00000000426,CHUK,protein_coding,protein_coding
ENSMFAG00000031202,ENSMFAG00000031202,protein_coding,protein_coding
ENSMFAG00000021171,RF00586,snoRNA,smallRNA
ENSMFAG00000041054,BLOC1S2,protein_coding,protein_coding
ENSMFAG00000040755,SCD,protein_coding,protein_coding
ENSMFAG00000035598,WNT8B,protein_coding,protein_coding
ENSMFAG00000043520,SEC31B,protein_coding,protein_coding
ENSMFAG00000040760,ENSMFAG00000040760,protein_coding,protein_coding
ENSMFAG00000043376,HIF1AN,protein_coding,protein_coding
ENSMFAG00000030194,ENSMFAG00000030194,protein_coding,protein_coding
ENSMFAG00000002825,ENSMFAG00000002825,protein_coding,protein_coding
ENSMFAG00000041514,PAX2,protein_coding,protein_coding
ENSMFAG00000013300,RF00019,misc_RNA,smallRNA
ENSMFAG00000042449,SLF2,protein_coding,protein_coding
ENSMFAG00000038405,SEMA4G,protein_coding,protein_coding
ENSMFAG00000036954,ENSMFAG00000036954,protein_coding,protein_coding
ENSMFAG00000032824,TWNK,protein_coding,protein_coding
ENSMFAG00000036586,LZTS2,protein_coding,protein_coding
ENSMFAG00000037794,PDZD7,protein_coding,protein_coding
ENSMFAG00000013097,ENSMFAG00000013097,protein_coding,protein_coding
ENSMFAG00000035501,SFXN3,protein_coding,protein_coding
ENSMFAG00000045425,KAZALD1,protein_coding,protein_coding
ENSMFAG00000043541,LBX1,protein_coding,protein_coding
ENSMFAG00000005295,BTRC,protein_coding,protein_coding
ENSMFAG00000043080,POLL,protein_coding,protein_coding
ENSMFAG00000036058,DPCD,protein_coding,protein_coding
ENSMFAG00000011453,ENSMFAG00000011453,miRNA,smallRNA
ENSMFAG00000044810,FBXW4,protein_coding,protein_coding
ENSMFAG00000005737,RF00026,snRNA,smallRNA
ENSMFAG00000003751,FGF8,protein_coding,protein_coding
ENSMFAG00000041878,NPM3,protein_coding,protein_coding
ENSMFAG00000032188,OGA,protein_coding,protein_coding
ENSMFAG00000046056,KCNIP2,protein_coding,protein_coding
ENSMFAG00000044833,ARMH3,protein_coding,protein_coding
ENSMFAG00000040457,HPS6,protein_coding,protein_coding
ENSMFAG00000041257,LDB1,protein_coding,protein_coding
ENSMFAG00000038589,PPRC1,protein_coding,protein_coding
ENSMFAG00000044654,NOLC1,protein_coding,protein_coding
ENSMFAG00000036362,ELOVL3,protein_coding,protein_coding
ENSMFAG00000045143,PITX3,protein_coding,protein_coding
ENSMFAG00000002812,GBF1,protein_coding,protein_coding
ENSMFAG00000031139,NFKB2,protein_coding,protein_coding
ENSMFAG00000000282,PSD,protein_coding,protein_coding
ENSMFAG00000033584,FBXL15,protein_coding,protein_coding
ENSMFAG00000035328,CUEDC2,protein_coding,protein_coding
ENSMFAG00000011747,MIR146B,miRNA,smallRNA
ENSMFAG00000037112,C10orf95,protein_coding,protein_coding
ENSMFAG00000041523,MFSD13A,protein_coding,protein_coding
ENSMFAG00000041926,ACTR1A,protein_coding,protein_coding
ENSMFAG00000038634,SUFU,protein_coding,protein_coding
ENSMFAG00000016988,RF00017,misc_RNA,smallRNA
ENSMFAG00000014053,RF00026,snRNA,smallRNA
ENSMFAG00000046181,TRIM8,protein_coding,protein_coding
ENSMFAG00000045820,ARL3,protein_coding,protein_coding
ENSMFAG00000045149,SFXN2,protein_coding,protein_coding
ENSMFAG00000042677,WBP1L,protein_coding,protein_coding
ENSMFAG00000034921,RF00026,snRNA,smallRNA
ENSMFAG00000002033,CYP17A1,protein_coding,protein_coding
ENSMFAG00000044610,ENSMFAG00000044610,protein_coding,protein_coding
ENSMFAG00000006734,RF00026,snRNA,smallRNA
ENSMFAG00000039839,AS3MT,protein_coding,protein_coding
ENSMFAG00000037915,CNNM2,protein_coding,protein_coding
ENSMFAG00000006568,RF02271,misc_RNA,smallRNA
ENSMFAG00000035950,NT5C2,protein_coding,protein_coding
ENSMFAG00000040504,ENSMFAG00000040504,protein_coding,protein_coding
ENSMFAG00000001835,PCGF6,protein_coding,protein_coding
ENSMFAG00000008716,RF00548,snRNA,smallRNA
ENSMFAG00000031468,TAF5,protein_coding,protein_coding
ENSMFAG00000037804,ATP5MD,protein_coding,protein_coding
ENSMFAG00000007177,MIR1307,miRNA,smallRNA
ENSMFAG00000044058,PDCD11,protein_coding,protein_coding
ENSMFAG00000002974,CALHM2,protein_coding,protein_coding
ENSMFAG00000032380,CALHM1,protein_coding,protein_coding
ENSMFAG00000009610,CALHM3,protein_coding,protein_coding
ENSMFAG00000001140,NEURL1,protein_coding,protein_coding
ENSMFAG00000030673,ENSMFAG00000030673,protein_coding,protein_coding
ENSMFAG00000044985,SH3PXD2A,protein_coding,protein_coding
ENSMFAG00000040897,RF00019,misc_RNA,smallRNA
ENSMFAG00000041817,STN1,protein_coding,protein_coding
ENSMFAG00000007328,SLK,protein_coding,protein_coding
ENSMFAG00000038498,COL17A1,protein_coding,protein_coding
ENSMFAG00000033346,SFR1,protein_coding,protein_coding
ENSMFAG00000043638,CFAP43,protein_coding,protein_coding
ENSMFAG00000033599,GSTO1,protein_coding,protein_coding
ENSMFAG00000044150,GSTO2,protein_coding,protein_coding
ENSMFAG00000004481,ENSMFAG00000004481,protein_coding,protein_coding
ENSMFAG00000046370,ENSMFAG00000046370,protein_coding,protein_coding
ENSMFAG00000035977,CFAP58,protein_coding,protein_coding
ENSMFAG00000044111,SORCS3,protein_coding,protein_coding
ENSMFAG00000046202,ENSMFAG00000046202,protein_coding,protein_coding
ENSMFAG00000027623,ENSMFAG00000027623,protein_coding,protein_coding
ENSMFAG00000042566,SORCS1,protein_coding,protein_coding
ENSMFAG00000011968,ENSMFAG00000011968,protein_coding,protein_coding
ENSMFAG00000037784,ENSMFAG00000037784,protein_coding,protein_coding
ENSMFAG00000010459,RF00100,misc_RNA,smallRNA
ENSMFAG00000030034,XPNPEP1,protein_coding,protein_coding
ENSMFAG00000031457,ADD3,protein_coding,protein_coding
ENSMFAG00000030475,MXI1,protein_coding,protein_coding
ENSMFAG00000002433,ENSMFAG00000002433,protein_coding,protein_coding
ENSMFAG00000044941,ENSMFAG00000044941,protein_coding,protein_coding
ENSMFAG00000002031,DUSP5,protein_coding,protein_coding
ENSMFAG00000003098,SMC3,protein_coding,protein_coding
ENSMFAG00000036795,RBM20,protein_coding,protein_coding
ENSMFAG00000008972,RF00100,misc_RNA,smallRNA
ENSMFAG00000005177,RF00001,rRNA,smallRNA
ENSMFAG00000001786,PDCD4,protein_coding,protein_coding
ENSMFAG00000042601,ENSMFAG00000042601,protein_coding,protein_coding
ENSMFAG00000046047,SHOC2,protein_coding,protein_coding
ENSMFAG00000043222,ADRA2A,protein_coding,protein_coding
ENSMFAG00000035967,ENSMFAG00000035967,protein_coding,protein_coding
ENSMFAG00000046761,ENSMFAG00000046761,lincRNA,lincRNA
ENSMFAG00000032340,GPAM,protein_coding,protein_coding
ENSMFAG00000036424,TECTB,protein_coding,protein_coding
ENSMFAG00000001207,ACSL5,protein_coding,protein_coding
ENSMFAG00000041749,ZDHHC6,protein_coding,protein_coding
ENSMFAG00000032726,VTI1A,protein_coding,protein_coding
ENSMFAG00000042696,ENSMFAG00000042696,miRNA,smallRNA
ENSMFAG00000029149,ENSMFAG00000029149,protein_coding,protein_coding
ENSMFAG00000043191,TCF7L2,protein_coding,protein_coding
ENSMFAG00000019971,ENSMFAG00000019971,protein_coding,protein_coding
ENSMFAG00000037647,HABP2,protein_coding,protein_coding
ENSMFAG00000001231,NRAP,protein_coding,protein_coding
ENSMFAG00000045136,CASP7,protein_coding,protein_coding
ENSMFAG00000001676,PLEKHS1,protein_coding,protein_coding
ENSMFAG00000040983,DCLRE1A,protein_coding,protein_coding
ENSMFAG00000038268,NHLRC2,protein_coding,protein_coding
ENSMFAG00000003341,ENSMFAG00000003341,protein_coding,protein_coding
ENSMFAG00000031007,ADRB1,protein_coding,protein_coding
ENSMFAG00000043487,TDRD1,protein_coding,protein_coding
ENSMFAG00000022092,VWA2,protein_coding,protein_coding
ENSMFAG00000002810,AFAP1L2,protein_coding,protein_coding
ENSMFAG00000017410,ENSMFAG00000017410,protein_coding,protein_coding
ENSMFAG00000017504,ENSMFAG00000017504,protein_coding,protein_coding
ENSMFAG00000009287,RF00017,misc_RNA,smallRNA
ENSMFAG00000046222,ABLIM1,protein_coding,protein_coding
ENSMFAG00000045717,FAM160B1,protein_coding,protein_coding
ENSMFAG00000031767,TRUB1,protein_coding,protein_coding
ENSMFAG00000046994,ENSMFAG00000046994,lincRNA,lincRNA
ENSMFAG00000003582,ATRNL1,protein_coding,protein_coding
ENSMFAG00000024955,ENSMFAG00000024955,protein_coding,protein_coding
ENSMFAG00000001953,GFRA1,protein_coding,protein_coding
ENSMFAG00000030751,PNLIPRP3,protein_coding,protein_coding
ENSMFAG00000039844,PNLIPRP1,protein_coding,protein_coding
ENSMFAG00000000722,PNLIPRP2,protein_coding,protein_coding
ENSMFAG00000031805,C10orf82,protein_coding,protein_coding
ENSMFAG00000034502,HSPA12A,protein_coding,protein_coding
ENSMFAG00000038492,ENO4,protein_coding,protein_coding
ENSMFAG00000042541,SHTN1,protein_coding,protein_coding
ENSMFAG00000044674,VAX1,protein_coding,protein_coding
ENSMFAG00000045802,KCNK18,protein_coding,protein_coding
ENSMFAG00000031383,SLC18A2,protein_coding,protein_coding
ENSMFAG00000037170,PDZD8,protein_coding,protein_coding
ENSMFAG00000041699,EMX2,protein_coding,protein_coding
ENSMFAG00000000822,RAB11FIP2,protein_coding,protein_coding
ENSMFAG00000045844,ENSMFAG00000045844,protein_coding,protein_coding
ENSMFAG00000031620,FAM204A,protein_coding,protein_coding
ENSMFAG00000030136,PRLHR,protein_coding,protein_coding
ENSMFAG00000001881,CACUL1,protein_coding,protein_coding
ENSMFAG00000009765,ENSMFAG00000009765,miRNA,smallRNA
ENSMFAG00000015746,ENSMFAG00000015746,protein_coding,protein_coding
ENSMFAG00000032082,EIF3A,protein_coding,protein_coding
ENSMFAG00000027199,RF00413,snoRNA,smallRNA
ENSMFAG00000028710,RF00413,snoRNA,smallRNA
ENSMFAG00000036865,ENSMFAG00000036865,protein_coding,protein_coding
ENSMFAG00000043135,SFXN4,protein_coding,protein_coding
ENSMFAG00000039826,PRDX3,protein_coding,protein_coding
ENSMFAG00000000421,GRK5,protein_coding,protein_coding
ENSMFAG00000021932,RF00017,misc_RNA,smallRNA
ENSMFAG00000035198,ENSMFAG00000035198,miRNA,smallRNA
ENSMFAG00000035933,RGS10,protein_coding,protein_coding
ENSMFAG00000041732,ENSMFAG00000041732,protein_coding,protein_coding
ENSMFAG00000002789,TIAL1,protein_coding,protein_coding
ENSMFAG00000042940,ENSMFAG00000042940,protein_coding,protein_coding
ENSMFAG00000035851,BAG3,protein_coding,protein_coding
ENSMFAG00000033157,ENSMFAG00000033157,protein_coding,protein_coding
ENSMFAG00000042323,INPP5F,protein_coding,protein_coding
ENSMFAG00000007801,RF00017,misc_RNA,smallRNA
ENSMFAG00000000064,MCMBP,protein_coding,protein_coding
ENSMFAG00000042549,SEC23IP,protein_coding,protein_coding
ENSMFAG00000046910,ENSMFAG00000046910,lincRNA,lincRNA
ENSMFAG00000037481,PLPP4,protein_coding,protein_coding
ENSMFAG00000031615,WDR11,protein_coding,protein_coding
ENSMFAG00000019309,RF00100,misc_RNA,smallRNA
ENSMFAG00000045752,FGFR2,protein_coding,protein_coding
ENSMFAG00000043722,ATE1,protein_coding,protein_coding
ENSMFAG00000000251,NSMCE4A,protein_coding,protein_coding
ENSMFAG00000037369,TACC2,protein_coding,protein_coding
ENSMFAG00000002237,BTBD16,protein_coding,protein_coding
ENSMFAG00000004831,RF00026,snRNA,smallRNA
ENSMFAG00000041484,PLEKHA1,protein_coding,protein_coding
ENSMFAG00000005569,ENSMFAG00000005569,miRNA,smallRNA
ENSMFAG00000032057,ARMS2,protein_coding,protein_coding
ENSMFAG00000044439,HTRA1,protein_coding,protein_coding
ENSMFAG00000003903,DMBT1,protein_coding,protein_coding
ENSMFAG00000041530,C10orf120,protein_coding,protein_coding
ENSMFAG00000046495,ENSMFAG00000046495,lincRNA,lincRNA
ENSMFAG00000033660,ENSMFAG00000033660,protein_coding,protein_coding
ENSMFAG00000002369,FAM24B,protein_coding,protein_coding
ENSMFAG00000001571,FAM24A,protein_coding,protein_coding
ENSMFAG00000033899,C10orf88,protein_coding,protein_coding
ENSMFAG00000036565,PSTK,protein_coding,protein_coding
ENSMFAG00000046268,IKZF5,protein_coding,protein_coding
ENSMFAG00000034302,ACADSB,protein_coding,protein_coding
ENSMFAG00000044849,BUB3,protein_coding,protein_coding
ENSMFAG00000047134,ENSMFAG00000047134,lincRNA,lincRNA
ENSMFAG00000043462,GPR26,protein_coding,protein_coding
ENSMFAG00000030596,ENSMFAG00000030596,protein_coding,protein_coding
ENSMFAG00000002567,CPXM2,protein_coding,protein_coding
ENSMFAG00000038636,ENSMFAG00000038636,pseudogene,pseudogene
ENSMFAG00000032966,CHST15,protein_coding,protein_coding
ENSMFAG00000046975,ENSMFAG00000046975,lincRNA,lincRNA
ENSMFAG00000038400,OAT,protein_coding,protein_coding
ENSMFAG00000043941,NKX1-2,protein_coding,protein_coding
ENSMFAG00000039017,LHPP,protein_coding,protein_coding
ENSMFAG00000030017,FAM53B,protein_coding,protein_coding
ENSMFAG00000002265,ENSMFAG00000002265,protein_coding,protein_coding
ENSMFAG00000003852,ENSMFAG00000003852,protein_coding,protein_coding
ENSMFAG00000035172,ABRAXAS2,protein_coding,protein_coding
ENSMFAG00000031080,ZRANB1,protein_coding,protein_coding
ENSMFAG00000045892,CTBP2,protein_coding,protein_coding
ENSMFAG00000044027,ENSMFAG00000044027,protein_coding,protein_coding
ENSMFAG00000003945,EDRF1,protein_coding,protein_coding
ENSMFAG00000001603,MMP21,protein_coding,protein_coding
ENSMFAG00000043500,UROS,protein_coding,protein_coding
ENSMFAG00000041850,BCCIP,protein_coding,protein_coding
ENSMFAG00000045315,DHX32,protein_coding,protein_coding
ENSMFAG00000010650,ENSMFAG00000010650,miRNA,smallRNA
ENSMFAG00000032085,FANK1,protein_coding,protein_coding
ENSMFAG00000039461,ADAM12,protein_coding,protein_coding
ENSMFAG00000041837,C10orf90,protein_coding,protein_coding
ENSMFAG00000046555,ENSMFAG00000046555,lincRNA,lincRNA
ENSMFAG00000045941,DOCK1,protein_coding,protein_coding
ENSMFAG00000013731,RF00019,misc_RNA,smallRNA
ENSMFAG00000036937,INSYN2A,protein_coding,protein_coding
ENSMFAG00000003701,CLRN3,protein_coding,protein_coding
ENSMFAG00000003527,PTPRE,protein_coding,protein_coding
ENSMFAG00000037072,MKI67,protein_coding,protein_coding
ENSMFAG00000029973,ENSMFAG00000029973,protein_coding,protein_coding
ENSMFAG00000003124,MGMT,protein_coding,protein_coding
ENSMFAG00000041034,EBF3,protein_coding,protein_coding
ENSMFAG00000031525,C10orf143,protein_coding,protein_coding
ENSMFAG00000031965,ENSMFAG00000031965,protein_coding,protein_coding
ENSMFAG00000014400,ENSMFAG00000014400,protein_coding,protein_coding
ENSMFAG00000001366,GLRX3,protein_coding,protein_coding
ENSMFAG00000046895,ENSMFAG00000046895,lincRNA,lincRNA
ENSMFAG00000009657,RF00019,misc_RNA,smallRNA
ENSMFAG00000046681,ENSMFAG00000046681,lincRNA,lincRNA
ENSMFAG00000043079,TCERG1L,protein_coding,protein_coding
ENSMFAG00000047142,ENSMFAG00000047142,lincRNA,lincRNA
ENSMFAG00000001365,PPP2R2D,protein_coding,protein_coding
ENSMFAG00000036887,BNIP3,protein_coding,protein_coding
ENSMFAG00000032603,JAKMIP3,protein_coding,protein_coding
ENSMFAG00000001844,ENSMFAG00000001844,protein_coding,protein_coding
ENSMFAG00000044506,LRRC27,protein_coding,protein_coding
ENSMFAG00000032975,PWWP2B,protein_coding,protein_coding
ENSMFAG00000003838,INPP5A,protein_coding,protein_coding
ENSMFAG00000045566,NKX6-2,protein_coding,protein_coding
ENSMFAG00000044857,CFAP46,protein_coding,protein_coding
ENSMFAG00000022985,ENSMFAG00000022985,protein_coding,protein_coding
ENSMFAG00000032931,ADGRA1,protein_coding,protein_coding
ENSMFAG00000042149,KNDC1,protein_coding,protein_coding
ENSMFAG00000037727,ENSMFAG00000037727,protein_coding,protein_coding
ENSMFAG00000043182,ADAM8,protein_coding,protein_coding
ENSMFAG00000036721,TUBGCP2,protein_coding,protein_coding
ENSMFAG00000044733,ZNF511,protein_coding,protein_coding
ENSMFAG00000034695,CALY,protein_coding,protein_coding
