Gene.stable.ID,Gene.name,Gene.type_ensembl,Gene.type_Fig2B
ENSMFAG00000030467,ENSMFAG00000030467,protein_coding,protein_coding
ENSMFAG00000014203,RF00003,snRNA,smallRNA
ENSMFAG00000000459,EFNA5,protein_coding,protein_coding
ENSMFAG00000013165,RF00017,misc_RNA,smallRNA
ENSMFAG00000042858,FBXL17,protein_coding,protein_coding
ENSMFAG00000042431,FER,protein_coding,protein_coding
ENSMFAG00000011726,RF00019,misc_RNA,smallRNA
ENSMFAG00000042626,ENSMFAG00000042626,protein_coding,protein_coding
ENSMFAG00000039247,PJA2,protein_coding,protein_coding
ENSMFAG00000045111,MAN2A1,protein_coding,protein_coding
ENSMFAG00000016453,ENSMFAG00000016453,protein_coding,protein_coding
ENSMFAG00000010949,RF00100,misc_RNA,smallRNA
ENSMFAG00000001672,TMEM232,protein_coding,protein_coding
ENSMFAG00000009525,RF00432,snoRNA,smallRNA
ENSMFAG00000046208,SLC25A46,protein_coding,protein_coding
ENSMFAG00000022957,ENSMFAG00000022957,protein_coding,protein_coding
ENSMFAG00000042344,ENSMFAG00000042344,protein_coding,protein_coding
ENSMFAG00000001782,WDR36,protein_coding,protein_coding
ENSMFAG00000036872,CAMK4,protein_coding,protein_coding
ENSMFAG00000040991,ENSMFAG00000040991,protein_coding,protein_coding
ENSMFAG00000030560,STARD4,protein_coding,protein_coding
ENSMFAG00000022681,NREP,protein_coding,protein_coding
ENSMFAG00000009189,RF00100,misc_RNA,smallRNA
ENSMFAG00000006999,RF00396,snoRNA,smallRNA
ENSMFAG00000000281,EPB41L4A,protein_coding,protein_coding
ENSMFAG00000006344,ENSMFAG00000006344,protein_coding,protein_coding
ENSMFAG00000003305,ENSMFAG00000003305,protein_coding,protein_coding
ENSMFAG00000041277,ENSMFAG00000041277,protein_coding,protein_coding
ENSMFAG00000005622,RF00026,snRNA,smallRNA
ENSMFAG00000001703,ENSMFAG00000001703,protein_coding,protein_coding
ENSMFAG00000040995,ENSMFAG00000040995,protein_coding,protein_coding
ENSMFAG00000032842,REEP5,protein_coding,protein_coding
ENSMFAG00000018080,ENSMFAG00000018080,protein_coding,protein_coding
ENSMFAG00000039717,DCP2,protein_coding,protein_coding
ENSMFAG00000033351,MCC,protein_coding,protein_coding
ENSMFAG00000037577,ENSMFAG00000037577,protein_coding,protein_coding
ENSMFAG00000033417,ENSMFAG00000033417,protein_coding,protein_coding
ENSMFAG00000012210,RF00100,misc_RNA,smallRNA
ENSMFAG00000034607,KCNN2,protein_coding,protein_coding
ENSMFAG00000023679,ENSMFAG00000023679,protein_coding,protein_coding
ENSMFAG00000045553,TRIM36,protein_coding,protein_coding
ENSMFAG00000046396,PGGT1B,protein_coding,protein_coding
ENSMFAG00000030969,CCDC112,protein_coding,protein_coding
ENSMFAG00000002642,ENSMFAG00000002642,protein_coding,protein_coding
ENSMFAG00000046066,FEM1C,protein_coding,protein_coding
ENSMFAG00000019091,TICAM2,protein_coding,protein_coding
ENSMFAG00000044844,TMED7,protein_coding,protein_coding
ENSMFAG00000032046,CDO1,protein_coding,protein_coding
ENSMFAG00000042814,ATG12,protein_coding,protein_coding
ENSMFAG00000003364,AP3S1,protein_coding,protein_coding
ENSMFAG00000044364,LVRN,protein_coding,protein_coding
