module20,celltype,modulesize,markersize,intersect,or,fdr,significant
grey60,L6B,154,91,2,2.91554465,1.0,False
grey60,Endo,154,284,2,0.91125821,1.0,False
grey60,SMC,154,216,1,0.59575591,1.0,False
grey60,PC,154,272,0,0.0,1.0,False
grey60,SST,154,97,0,0.0,1.0,False
grey60,Immune,154,177,1,0.7292136,1.0,False
grey60,RB,154,262,0,0.0,1.0,False
lightcyan,VLMC,166,184,1,0.64968836,1.0,False
lightcyan,Astro,166,258,0,0.0,1.0,False
lightcyan,Micro,166,290,1,0.40916826,1.0,False
lightcyan,OPC,166,170,2,1.42502613,1.0,False
lightcyan,PVALB,166,90,0,0.0,1.0,False
lightcyan,VIP,166,85,0,0.0,1.0,False
lightcyan,Oligo,166,292,1,0.40631445,1.0,False
lightcyan,L6B,166,91,0,0.0,1.0,False
lightcyan,Endo,166,284,0,0.0,1.0,False
lightcyan,SMC,166,216,0,0.0,1.0,False
lightcyan,PC,166,272,0,0.0,1.0,False
lightcyan,SST,166,97,0,0.0,1.0,False
lightcyan,Immune,166,177,0,0.0,1.0,False
lightcyan,RB,166,262,0,0.0,1.0,False
midnightblue,VLMC,176,184,1,0.61225216,1.0,False
midnightblue,Astro,176,258,1,0.43431072,1.0,False
midnightblue,Micro,176,290,2,0.77834492,1.0,False
midnightblue,OPC,176,170,0,0.0,1.0,False
midnightblue,PVALB,176,90,0,0.0,1.0,False
midnightblue,VIP,176,85,0,0.0,1.0,False
midnightblue,Oligo,176,292,0,0.0,1.0,False
midnightblue,L6B,176,91,0,0.0,1.0,False
midnightblue,Endo,176,284,0,0.0,1.0,False
midnightblue,SMC,176,216,0,0.0,1.0,False
midnightblue,PC,176,272,0,0.0,1.0,False
midnightblue,SST,176,97,0,0.0,1.0,False
midnightblue,Immune,176,177,2,1.28832059,1.0,False
midnightblue,RB,176,262,1,0.42756702,1.0,False
cyan,VLMC,191,184,2,1.13918491,0.7481429,False
cyan,Astro,191,258,2,0.8068446,1.0,False
cyan,Micro,191,290,2,0.71602245,1.0,False
cyan,OPC,191,170,7,4.57714888,0.007384139,Enrich
cyan,PVALB,191,90,2,2.36711184,0.330304,False
cyan,VIP,191,85,4,5.19971816,0.03262115,Enrich
cyan,Oligo,191,292,1,0.35239538,0.6200103,False
cyan,L6B,191,91,2,2.34043731,0.330304,False
cyan,Endo,191,284,5,1.87839358,0.330304,False
cyan,SMC,191,216,3,1.46547094,0.5865385,False
cyan,PC,191,272,5,1.96398556,0.330304,False
cyan,SST,191,97,3,3.34064679,0.1600007,False
cyan,Immune,191,177,2,1.18517227,0.7481429,False
cyan,RB,191,262,5,2.04134628,0.2075932,False
salmon,VLMC,201,184,5,2.79102058,0.04882164,Enrich
salmon,Astro,201,258,0,0.0,0.1381218,False
salmon,Micro,201,290,1,0.3369522,0.4204544,False
salmon,OPC,201,170,2,1.17233796,0.7244358,False
salmon,PVALB,201,90,3,3.4266127,0.07554843,False
salmon,VIP,201,85,6,7.66533738,0.0005753863,Enrich
salmon,Oligo,201,292,2,0.67493688,1.0,False
salmon,L6B,201,91,7,8.44971076,0.0001355416,Enrich
salmon,Endo,201,284,7,2.53834532,0.0332845,Enrich
salmon,SMC,201,216,6,2.86490007,0.03088894,Enrich
salmon,PC,201,272,12,4.76226042,8.826338e-05,Enrich
salmon,SST,201,97,5,5.4545308,0.004784894,Enrich
salmon,Immune,201,177,2,1.12504573,0.7244358,False
salmon,RB,201,262,9,3.61500948,0.002865603,Enrich
tan,VLMC,354,184,2,0.60659212,1.0,False
tan,Astro,354,258,4,0.8710065,1.0,False
tan,Micro,354,290,4,0.77227583,1.0,False
tan,OPC,354,170,2,0.65761347,1.0,False
tan,PVALB,354,90,0,0.0,1.0,False
tan,VIP,354,85,0,0.0,1.0,False
tan,Oligo,354,292,0,0.0,0.2358431,False
tan,L6B,354,91,1,0.61449051,1.0,False
tan,Endo,354,284,3,0.58799026,1.0,False
tan,SMC,354,216,1,0.25556677,1.0,False
tan,PC,354,272,1,0.20215945,0.9546451,False
tan,SST,354,97,0,0.0,1.0,False
tan,Immune,354,177,2,0.6310824,1.0,False
tan,RB,354,262,0,0.0,0.2358431,False
greenyellow,VLMC,379,184,2,0.56563939,1.0,False
greenyellow,Astro,379,258,0,0.0,0.5083745,False
greenyellow,Micro,379,290,5,0.90543613,1.0,False
greenyellow,OPC,379,170,3,0.92782849,1.0,False
greenyellow,PVALB,379,90,0,0.0,1.0,False
greenyellow,VIP,379,85,0,0.0,1.0,False
greenyellow,Oligo,379,292,1,0.17545916,0.700289,False
greenyellow,L6B,379,91,2,1.16220999,1.0,False
greenyellow,Endo,379,284,6,1.11726075,1.0,False
greenyellow,SMC,379,216,2,0.48026754,1.0,False
greenyellow,PC,379,272,4,0.76892356,1.0,False
greenyellow,SST,379,97,1,0.53713158,1.0,False
greenyellow,Immune,379,177,5,1.50899087,1.0,False
greenyellow,RB,379,262,5,1.00553497,1.0,False
purple,VLMC,399,184,0,0.0,0.2703537,False
purple,Astro,399,258,3,0.57374814,0.6563481,False
purple,Micro,399,290,1,0.16763946,0.2703537,False
purple,OPC,399,170,0,0.0,0.2703537,False
purple,PVALB,399,90,0,0.0,0.4162226,False
purple,VIP,399,85,0,0.0,0.5832045,False
purple,Oligo,399,292,0,0.0,0.1446969,False
purple,L6B,399,91,0,0.0,0.4162226,False
purple,Endo,399,284,2,0.34452807,0.3907992,False
purple,SMC,399,216,0,0.0,0.2703537,False
purple,PC,399,272,1,0.17887983,0.2703537,False
purple,SST,399,97,0,0.0,0.4162226,False
purple,Immune,399,177,1,0.27682165,0.4162226,False
purple,RB,399,262,1,0.18583195,0.2890702,False
magenta,VLMC,491,184,66,25.44220579,1.453612e-57,Enrich
magenta,Astro,491,258,13,2.13454674,0.05542143,False
magenta,Micro,491,290,6,0.83597237,1.0,False
magenta,OPC,491,170,3,0.71076795,1.0,False
magenta,PVALB,491,90,1,0.44454364,0.9704597,False
magenta,VIP,491,85,2,0.955579,1.0,False
magenta,Oligo,491,292,1,0.13457151,0.05542143,False
magenta,L6B,491,91,1,0.4395817,0.9704597,False
magenta,Endo,491,284,25,3.97981278,2.401774e-07,Enrich
magenta,SMC,491,216,46,11.7372271,9.48741e-29,Enrich
magenta,PC,491,272,46,8.80165777,2.27039e-24,Enrich
magenta,SST,491,97,2,0.83436236,1.0,False
magenta,Immune,491,177,9,2.14574536,0.1568718,False
magenta,RB,491,262,36,6.73698285,3.566384e-16,Enrich
pink,VLMC,537,184,1,0.19620146,0.45494,False
pink,Astro,537,258,5,0.7123623,0.6719553,False
pink,Micro,537,290,8,1.02680637,0.8547406,False
pink,OPC,537,170,2,0.4286062,0.5942674,False
pink,PVALB,537,90,1,0.40542904,0.6633159,False
pink,VIP,537,85,0,0.0,0.4946708,False
pink,Oligo,537,292,2,0.24672569,0.340555,False
pink,L6B,537,91,0,0.0,0.4946708,False
pink,Endo,537,284,4,0.51324969,0.5702519,False
pink,SMC,537,216,0,0.0,0.1420499,False
pink,PC,537,272,3,0.40016269,0.4946708,False
pink,SST,537,97,1,0.37573105,0.6633159,False
pink,Immune,537,177,3,0.62170039,0.6719553,False
pink,RB,537,262,4,0.55765447,0.5942674,False
black,VLMC,590,184,1,0.17805249,0.2734662,False
black,Astro,590,258,2,0.25404892,0.2734662,False
black,Micro,590,290,4,0.45563219,0.4894017,False
black,OPC,590,170,4,0.78992447,1.0,False
black,PVALB,590,90,2,0.7455247,1.0,False
black,VIP,590,85,4,1.62594102,0.6644909,False
black,Oligo,590,292,0,0.0,0.009270474,Absence
black,L6B,590,91,1,0.36383,0.8141955,False
black,Endo,590,284,2,0.23031266,0.2586437,False
black,SMC,590,216,3,0.45981068,0.4986907,False
black,PC,590,272,4,0.48669202,0.4894017,False
black,SST,590,97,2,0.69034213,1.0,False
black,Immune,590,177,2,0.37320928,0.4894017,False
black,RB,590,262,2,0.25008819,0.2586437,False
red,VLMC,865,184,1,0.11977721,0.03872321,Absence
red,Astro,865,258,10,0.89021659,0.9087028,False
red,Micro,865,290,4,0.30601205,0.04785086,Absence
red,OPC,865,170,2,0.2615005,0.1061049,False
red,PVALB,865,90,1,0.24755222,0.2491475,False
red,VIP,865,85,0,0.0,0.1218618,False
red,Oligo,865,292,1,0.07492776,0.001778696,Absence
red,L6B,865,91,0,0.0,0.1061049,False
red,Endo,865,284,7,0.55510428,0.2038653,False
red,SMC,865,216,4,0.4144487,0.1659464,False
red,PC,865,272,5,0.41062412,0.1218618,False
red,SST,865,97,1,0.22941727,0.2020304,False
red,Immune,865,177,4,0.50891724,0.3147735,False
red,RB,865,262,7,0.60370079,0.2787817,False
green,VLMC,945,184,0,0.0,0.008155809,Absence
green,Astro,945,258,10,0.81051326,0.6802139,False
green,Micro,945,290,10,0.71665865,0.5053466,False
green,OPC,945,170,1,0.11828634,0.03888351,Absence
green,PVALB,945,90,0,0.0,0.09369566,False
green,VIP,945,85,2,0.48447298,0.5220462,False
green,Oligo,945,292,4,0.27681309,0.03076717,Absence
green,L6B,945,91,2,0.45166953,0.5220462,False
green,Endo,945,284,6,0.43129924,0.1085131,False
green,SMC,945,216,1,0.0927958,0.008155809,Absence
green,PC,945,272,7,0.52878161,0.2390011,False
green,SST,945,97,0,0.0,0.08737215,False
green,Immune,945,177,4,0.46364584,0.2842371,False
green,RB,945,262,5,0.38880662,0.09733044,False
yellow,VLMC,1108,184,10,0.97795462,1.0,False
yellow,Astro,1108,258,29,2.1862624,0.002132348,Enrich
yellow,Micro,1108,290,35,2.37965568,0.0001375349,Enrich
