Unnamed: 0,age2,age3,age4,age5,age6,age7,age8,aggregate,Gene name
ENSMFAG00000031803_RASSF4,-4.802468,-5.087005,-5.826716,-5.487402,-5.99365,-5.838109,-7.289471,-5.786888,RASSF4
ENSMFAG00000037782_DOCK10,-3.84954,-3.675454,-3.585104,-3.357803,-3.435156,-3.558996,-3.727693,-3.484319,DOCK10
ENSMFAG00000039143_BCL2L11,-5.509267,-5.464501,-6.173827,-5.368357,-5.508545,-6.05313,-6.364586,-5.374865,BCL2L11
ENSMFAG00000036003_TMEM144,-5.389931,-5.492574,-5.793309,-5.894594,-5.975166,-6.040806,-6.0114,-5.605543,TMEM144
ENSMFAG00000030543_HPSE,-5.057755,-5.294661,-6.0709,-5.604707,-5.927014,-5.900366,-6.76718,-5.669126,HPSE
ENSMFAG00000002735_RNF13,-5.759305,-5.593637,-5.955205,-5.791125,-5.943377,-5.722886,-5.917368,-5.685813,RNF13
ENSMFAG00000037310_SGK1,-3.506969,-3.373686,-3.636559,-3.525905,-3.671126,-3.528702,-3.568303,-3.578374,SGK1
ENSMFAG00000025111_NXPE3,-5.104566,-5.307706,-5.975633,-5.989669,-6.467399,-5.719339,-6.584014,-6.339079,NXPE3
ENSMFAG00000003641_NEK4,-5.624713,-5.536296,-6.039252,-5.757569,-5.909386,-6.166919,-6.143871,-5.537012,NEK4
ENSMFAG00000034097_CCDC50,-5.823295,-5.473706,-6.216798,-5.585873,-5.844898,-6.139058,-6.234162,-5.380246,CCDC50
ENSMFAG00000036525_CCNE2,-5.56259,-5.378313,-6.074386,-5.859507,-6.017509,-6.312489,-6.246522,-5.582966,CCNE2
ENSMFAG00000026468_ZBTB5,-5.652861,-5.423014,-6.226801,-5.483206,-5.895879,-6.320757,-6.580955,-5.697606,ZBTB5
ENSMFAG00000031622_MSRB3,-5.10232,-5.507799,-6.125875,-5.808206,-6.04592,-6.094958,-6.995144,-5.779874,MSRB3
ENSMFAG00000044849_BUB3,-5.6205,-5.607061,-6.236437,-5.965319,-6.240677,-5.856129,-6.27154,-5.984797,BUB3
ENSMFAG00000043092_MTUS1,-5.655306,-5.75068,-6.124724,-5.747182,-6.014811,-6.101664,-6.406707,-5.750594,MTUS1
ENSMFAG00000031095_MAP4,-5.350899,-5.183379,-6.031743,-5.831929,-6.498006,-6.036799,-6.949353,-6.266122,MAP4
ENSMFAG00000041392_SEMA6A,-3.760669,-3.459279,-3.52619,-3.226242,-3.207806,-3.458946,-3.494053,-3.331057,SEMA6A
ENSMFAG00000002769_EFHD1,-3.287105,-3.096641,-3.278507,-3.224627,-3.366057,-3.330983,-3.393026,-3.293272,EFHD1
ENSMFAG00000030375_HBP1,-5.44866,-5.307437,-6.206535,-6.049219,-6.354989,-6.161391,-6.559971,-5.735984,HBP1
ENSMFAG00000038110_TCAF2 ,-5.504716,-5.563039,-6.315366,-5.585816,-5.856725,-6.073668,-7.200118,-5.835621,TCAF2 
ENSMFAG00000041734_ITCH,-5.41871,-5.555307,-6.266389,-5.928608,-6.254649,-6.104822,-6.577747,-5.790503,ITCH
ENSMFAG00000003532_DHX15,-5.77847,-5.530228,-6.429215,-5.774591,-5.950224,-6.034537,-6.791145,-5.687885,DHX15
ENSMFAG00000000855_STK3,-5.657929,-5.685532,-6.201072,-5.888787,-6.032535,-6.126717,-6.714602,-6.002921,STK3
ENSMFAG00000040273_SNX1,-5.847737,-5.690854,-6.234378,-5.759213,-6.214163,-6.000586,-6.747145,-6.22942,SNX1
ENSMFAG00000045853_ANXA5,-5.275396,-5.457255,-6.182451,-6.107763,-6.486171,-6.429895,-7.068819,-5.924697,ANXA5
ENSMFAG00000036408_VWA8,-4.997362,-5.442442,-6.486192,-5.896653,-6.29679,-6.384813,-7.746867,-5.702523,VWA8
ENSMFAG00000038065_ANGPTL2,-5.398751,-5.749308,-6.155403,-5.591975,-5.929884,-6.650739,-7.812999,-5.580526,ANGPTL2
ENSMFAG00000038604_CERS2,-3.418157,-3.243625,-3.279613,-3.15997,-3.196548,-3.270238,-3.376623,-3.204511,CERS2
ENSMFAG00000003350_ABCA10,-5.463688,-5.582816,-6.238264,-6.162549,-6.372072,-6.388749,-7.106415,-5.77448,ABCA10
ENSMFAG00000042757_PTCD3,-5.468766,-5.686283,-6.487892,-5.899039,-6.165066,-6.663633,-7.215867,-5.662641,PTCD3
ENSMFAG00000043512_OSBPL9,-5.658337,-5.381085,-6.486338,-6.191251,-6.750413,-6.595901,-7.240009,-5.951949,OSBPL9
ENSMFAG00000038838_PLCL1,-5.715087,-5.712951,-6.755713,-6.208348,-6.84831,-6.528515,-7.639541,-6.785964,PLCL1
ENSMFAG00000045267_SP1,-6.177772,-5.998292,-6.699261,-6.38455,-6.504601,-6.735071,-6.98387,-6.555163,SP1
ENSMFAG00000016075_USP3,-6.028194,-5.958162,-6.616563,-6.11928,-6.320479,-7.012319,-7.845798,-5.958707,USP3
