Group,Category,Term,Description,Log(p-FDR-corrected),InTerm_InList,Genes,Symbols
,GO Biological Processes,GO:0050803,regulation of synapse structure or activity,-3.4869344668,21/208,"40,351,575,1607,1759,2895,4761,5100,5818,6585,7476,8851,9148,22859,27286,28988,55752,57622,94030,347902,375790","ASIC2,APP,ADGRB1,DGKB,DNM1,GRID2,NEUROD2,PCDH8,NECTIN1,SLIT1,WNT7A,CDK5R1,NEURL1,ADGRL1,SRPX2,DBNL,SEPTIN11,LRFN1,LRRC4B,AMIGO2,AGRN"
,GO Biological Processes,GO:0007416,synapse assembly,-3.4239550922,18/160,"40,119,351,575,1948,2596,2895,5818,6585,7476,27286,28988,50944,57622,94030,266743,347902,375790","ASIC2,ADD2,APP,ADGRB1,EFNB2,GAP43,GRID2,NECTIN1,SLIT1,WNT7A,SRPX2,DBNL,SHANK1,LRFN1,LRRC4B,NPAS4,AMIGO2,AGRN"
,GO Biological Processes,GO:0050807,regulation of synapse organization,-3.2968093401,20/198,"40,351,575,1607,2895,4761,5100,5818,6585,7476,8851,9148,22859,27286,28988,55752,57622,94030,347902,375790","ASIC2,APP,ADGRB1,DGKB,GRID2,NEUROD2,PCDH8,NECTIN1,SLIT1,WNT7A,CDK5R1,NEURL1,ADGRL1,SRPX2,DBNL,SEPTIN11,LRFN1,LRRC4B,AMIGO2,AGRN"
,GO Biological Processes,GO:0034329,cell junction assembly,-2.3831755337,28/395,"40,87,88,119,351,575,613,1008,1948,2185,2596,2889,2895,3914,5818,6585,6722,7476,9344,9647,27286,28988,50944,57622,94030,266743,347902,375790","ASIC2,ACTN1,ACTN2,ADD2,APP,ADGRB1,BCR,CDH10,EFNB2,PTK2B,GAP43,RAPGEF1,GRID2,LAMB3,NECTIN1,SLIT1,SRF,WNT7A,TAOK2,PPM1F,SRPX2,DBNL,SHANK1,LRFN1,LRRC4B,NPAS4,AMIGO2,AGRN"
,GO Biological Processes,GO:0051963,regulation of synapse assembly,-2.3409074938,12/93,"40,351,575,2895,5818,6585,7476,27286,57622,94030,347902,375790","ASIC2,APP,ADGRB1,GRID2,NECTIN1,SLIT1,WNT7A,SRPX2,LRFN1,LRRC4B,AMIGO2,AGRN"
,GO Biological Processes,GO:0051962,positive regulation of nervous system development,-1.8729560641,20/256,"40,575,1002,2290,2895,3897,4137,5361,6091,6722,7161,7476,7732,9148,27286,28988,51393,94030,347902,375790","ASIC2,ADGRB1,CDH4,FOXG1,GRID2,L1CAM,MAPT,PLXNA1,ROBO1,SRF,TP73,WNT7A,RNF112,NEURL1,SRPX2,DBNL,TRPV2,LRRC4B,AMIGO2,AGRN"
,GO Biological Processes,GO:0051960,regulation of nervous system development,-1.4355356455,42/410,"40,443,575,745,1002,2290,2895,3065,3897,4133,4137,5361,5789,6091,6585,6663,6696,6722,7161,7476,7732,8851,9148,9241,10215,10501,23500,26022,27286,28514,28988,29956,51393,55636,57556,57609,80031,84079,84504,94030,347902,375790","ASIC2,ASPA,ADGRB1,MYRF,CDH4,FOXG1,GRID2,HDAC1,L1CAM,MAP2,MAPT,PLXNA1,PTPRD,ROBO1,SLIT1,SOX10,SPP1,SRF,TP73,WNT7A,RNF112,CDK5R1,NEURL1,NOG,OLIG2,SEMA6B,DAAM2,TMEM98,SRPX2,DLL1,DBNL,CERS2,TRPV2,CHD7,SEMA6A,DIP2B,SEMA6D,ANKRD27,NKX6-2,LRRC4B,AMIGO2,AGRN"
,GO Biological Processes,GO:0051965,positive regulation of synapse assembly,-1.4889822079,8/56,"40,575,2895,7476,27286,94030,347902,375790","ASIC2,ADGRB1,GRID2,WNT7A,SRPX2,LRRC4B,AMIGO2,AGRN"
,GO Biological Processes,GO:1901888,regulation of cell junction assembly,-0.9885332219,14/187,"40,351,575,2889,2895,5818,6585,7476,9647,27286,57622,94030,347902,375790","ASIC2,APP,ADGRB1,RAPGEF1,GRID2,NECTIN1,SLIT1,WNT7A,PPM1F,SRPX2,LRFN1,LRRC4B,AMIGO2,AGRN"
,GO Biological Processes,GO:1901890,positive regulation of cell junction assembly,-0.9266173001,9/93,"40,575,2895,7476,9647,27286,94030,347902,375790","ASIC2,ADGRB1,GRID2,WNT7A,PPM1F,SRPX2,LRRC4B,AMIGO2,AGRN"
,GO Biological Processes,GO:0044089,positive regulation of cellular component biogenesis,-0.7225076877,26/503,"40,246,575,2185,2895,2909,4137,5064,6722,7471,7476,8396,8851,8936,9148,9647,10458,11151,11346,27286,79837,84722,89795,94030,347902,375790","ASIC2,ALOX15,ADGRB1,PTK2B,GRID2,ARHGAP35,MAPT,PALM,SRF,WNT1,WNT7A,PIP4K2B,CDK5R1,WASF1,NEURL1,PPM1F,BAIAP2,CORO1A,SYNPO,SRPX2,PIP4K2C,PSRC1,NAV3,LRRC4B,AMIGO2,AGRN"
axon development,GO Biological Processes,GO:0061564,axon development,-5.8321926424,41/491,"351,575,1002,1268,1948,2281,2290,2596,2817,2909,3897,4133,4137,5076,5361,5792,5818,6091,6585,6722,7476,8851,9241,9344,9369,10458,10501,10752,28988,51393,53358,55201,55715,64221,64919,128434,146760,152330,170302,284656,349667","APP,ADGRB1,CDH4,CNR1,EFNB2,FKBP1B,FOXG1,GAP43,GPC1,ARHGAP35,L1CAM,MAP2,MAPT,PAX2,PLXNA1,PTPRF,NECTIN1,ROBO1,SLIT1,SRF,WNT7A,CDK5R1,NOG,TAOK2,NRXN3,BAIAP2,SEMA6B,CHL1,DBNL,TRPV2,SHC3,MAP1S,DOK4,ROBO3,BCL11B,VSTM2L,RTN4RL1,CNTN4,ARX,EPHA10,RTN4RL2"
,GO Biological Processes,GO:0048812,neuron projection morphogenesis,-5.7119123965,47/620,"351,575,1002,1742,1948,2290,2596,2817,2909,3897,4133,4137,4681,5076,5361,5818,6091,6585,6722,7476,8851,8936,9241,9344,9369,10458,10501,10752,11178,23542,28988,29993,50944,51393,51760,53358,55201,55715,57699,64221,64919,84062,128434,152330,170302,222950,284656","APP,ADGRB1,CDH4,DLG4,EFNB2,FOXG1,GAP43,GPC1,ARHGAP35,L1CAM,MAP2,MAPT,NBL1,PAX2,PLXNA1,NECTIN1,ROBO1,SLIT1,SRF,WNT7A,CDK5R1,WASF1,NOG,TAOK2,NRXN3,BAIAP2,SEMA6B,CHL1,LZTS1,MAPK8IP2,DBNL,PACSIN1,SHANK1,TRPV2,SYT17,SHC3,MAP1S,DOK4,CPNE5,ROBO3,BCL11B,DTNBP1,VSTM2L,CNTN4,ARX,NYAP1,EPHA10"
,GO Biological Processes,GO:0032990,cell part morphogenesis,-5.4593513759,48/654,"351,575,1002,1742,1948,2290,2596,2817,2909,3897,4133,4137,4681,5076,5361,5818,6091,6585,6722,7476,8851,8936,9241,9344,9369,10458,10501,10752,11178,23542,28988,29993,50944,51393,51760,53358,55022,55201,55715,57699,64221,64919,84062,128434,152330,170302,222950,284656","APP,ADGRB1,CDH4,DLG4,EFNB2,FOXG1,GAP43,GPC1,ARHGAP35,L1CAM,MAP2,MAPT,NBL1,PAX2,PLXNA1,NECTIN1,ROBO1,SLIT1,SRF,WNT7A,CDK5R1,WASF1,NOG,TAOK2,NRXN3,BAIAP2,SEMA6B,CHL1,LZTS1,MAPK8IP2,DBNL,PACSIN1,SHANK1,TRPV2,SYT17,SHC3,PID1,MAP1S,DOK4,CPNE5,ROBO3,BCL11B,DTNBP1,VSTM2L,CNTN4,ARX,NYAP1,EPHA10"
,GO Biological Processes,GO:0120039,plasma membrane bounded cell projection morphogenesis,-5.4553566913,47/634,"351,575,1002,1742,1948,2290,2596,2817,2909,3897,4133,4137,4681,5076,5361,5818,6091,6585,6722,7476,8851,8936,9241,9344,9369,10458,10501,10752,11178,23542,28988,29993,50944,51393,51760,53358,55201,55715,57699,64221,64919,84062,128434,152330,170302,222950,284656","APP,ADGRB1,CDH4,DLG4,EFNB2,FOXG1,GAP43,GPC1,ARHGAP35,L1CAM,MAP2,MAPT,NBL1,PAX2,PLXNA1,NECTIN1,ROBO1,SLIT1,SRF,WNT7A,CDK5R1,WASF1,NOG,TAOK2,NRXN3,BAIAP2,SEMA6B,CHL1,LZTS1,MAPK8IP2,DBNL,PACSIN1,SHANK1,TRPV2,SYT17,SHC3,MAP1S,DOK4,CPNE5,ROBO3,BCL11B,DTNBP1,VSTM2L,CNTN4,ARX,NYAP1,EPHA10"
