Group,Category,Term,Description,Log(p-FDR-corrected),InTerm_InList,Genes,Symbols
,GO Biological Processes,GO:0032956,regulation of actin cytoskeleton organization,-0.4314742755,18/336,"88,119,246,2185,2909,5580,8851,8936,9344,9647,10458,11151,11346,28988,50944,57026,374872,642574","ACTN2,ADD2,ALOX15,PTK2B,ARHGAP35,PRKCD,CDK5R1,WASF1,TAOK2,PPM1F,BAIAP2,CORO1A,SYNPO,DBNL,SHANK1,PDXP,PEAK3,IQANK1"
,GO Biological Processes,GO:0032273,positive regulation of protein polymerization,-0.4314742755,9/123,"246,2185,4137,8851,8936,10458,11151,84722,89795","ALOX15,PTK2B,MAPT,CDK5R1,WASF1,BAIAP2,CORO1A,PSRC1,NAV3"
regulation of JNK cascade,GO Biological Processes,GO:0046328,regulation of JNK cascade,-1.6398829787,19/123,"351,939,2185,2889,4878,6422,6788,7185,7189,7476,9344,9618,9770,10125,23239,23542,57630,83737,140885","APP,CD27,PTK2B,RAPGEF1,NPPA,SFRP1,STK3,TRAF1,TRAF6,WNT7A,TAOK2,TRAF4,RASSF2,RASGRP1,PHLPP1,MAPK8IP2,SH3RF1,ITCH,SIRPA"
,GO Biological Processes,GO:0007254,JNK cascade,-1.2621366516,23/181,"351,939,2185,2889,3654,4878,6422,6788,7018,7185,7189,7476,9344,9618,9770,10125,10595,23239,23542,28988,57630,83737,140885","APP,CD27,PTK2B,RAPGEF1,IRAK1,NPPA,SFRP1,STK3,TF,TRAF1,TRAF6,WNT7A,TAOK2,TRAF4,RASSF2,RASGRP1,ERN2,PHLPP1,MAPK8IP2,DBNL,SH3RF1,ITCH,SIRPA"
,GO Biological Processes,GO:0046330,positive regulation of JNK cascade,-0.6876723468,12/79,"351,939,2185,6788,7185,7189,7476,9344,9618,9770,10125,57630","APP,CD27,PTK2B,STK3,TRAF1,TRAF6,WNT7A,TAOK2,TRAF4,RASSF2,RASGRP1,SH3RF1"
bone remodeling,GO Biological Processes,GO:0046849,bone remodeling,-1.8982070259,10/81,"760,952,4041,4286,5745,6422,6696,7018,7189,9770","CA2,CD38,LRP5,MITF,PTH1R,SFRP1,SPP1,TF,TRAF6,RASSF2"
,GO Biological Processes,GO:0060249,anatomical structure homeostasis,-1.8935390226,26/418,"760,952,1134,3688,3920,3988,4155,5028,5052,5111,5745,6584,6696,7011,7018,7189,8550,8658,9134,26277,51052,64421,83700,128338,145226,282809","CA2,CD38,CHRNA1,ITGB1,LAMP2,LIPA,MBP,P2RY1,PRDX1,PCNA,PTH1R,SLC22A5,SPP1,TEP1,TF,TRAF6,MAPKAPK5,TNKS,CCNE2,TINF2,PRLH,DCLRE1C,JAM3,DRAM2,RDH12,POC1B"
,GO Biological Processes,GO:0048771,tissue remodeling,-1.40308683,13/155,"760,952,3988,4041,4286,5745,6422,6696,7018,7189,9770,55636,64114","CA2,CD38,LIPA,LRP5,MITF,PTH1R,SFRP1,SPP1,TF,TRAF6,RASSF2,CHD7,TMBIM1"
,GO Biological Processes,GO:0001894,tissue homeostasis,-1.2514080719,16/229,"760,952,3688,3988,4155,5052,5745,6584,6696,7018,7189,51052,83700,128338,145226,282809","CA2,CD38,ITGB1,LIPA,MBP,PRDX1,PTH1R,SLC22A5,SPP1,TF,TRAF6,PRLH,JAM3,DRAM2,RDH12,POC1B"
,GO Biological Processes,GO:0048871,multicellular organismal homeostasis,-0.9164380052,24/466,"760,952,2180,3688,3988,4155,4891,5052,5334,5745,6584,6696,6868,7018,7189,28514,51052,64834,79152,79602,83700,128338,145226,282809","CA2,CD38,ACSL1,ITGB1,LIPA,MBP,SLC11A2,PRDX1,PLCL1,PTH1R,SLC22A5,SPP1,ADAM17,TF,TRAF6,DLL1,PRLH,ELOVL1,FA2H,ADIPOR2,JAM3,DRAM2,RDH12,POC1B"
,GO Biological Processes,GO:0045453,bone resorption,-0.6188206682,6/59,"760,952,5745,6696,7018,7189","CA2,CD38,PTH1R,SPP1,TF,TRAF6"
,GO Biological Processes,GO:0046850,regulation of bone remodeling,-0.4812829151,5/47,"760,952,6422,6696,7018","CA2,CD38,SFRP1,SPP1,TF"
myelin maintenance,GO Biological Processes,GO:0007422,peripheral nervous system development,-1.5635261341,13/66,"40,575,576,1960,2065,2817,5376,6663,7368,10397,60484,79152,79628","ASIC2,ADGRB1,ADGRB2,EGR3,ERBB3,GPC1,PMP22,SOX10,UGT8,NDRG1,HAPLN2,FA2H,SH3TC2"
,GO Biological Processes,GO:0043217,myelin maintenance,-1.035813747,4/17,"745,10397,79152,79628","MYRF,NDRG1,FA2H,SH3TC2"
,GO Biological Processes,GO:0032287,peripheral nervous system myelin maintenance,-1.0282430388,3/8,"10397,79152,79628","NDRG1,FA2H,SH3TC2"
ionotropic glutamate receptor signaling pathway,GO Biological Processes,GO:0035235,ionotropic glutamate receptor signaling pathway,-1.7514352379,6/26,"351,2185,2895,2902,2906,8851","APP,PTK2B,GRID2,GRIN1,GRIN2D,CDK5R1"
,GO Biological Processes,GO:0007215,glutamate receptor signaling pathway,-1.6702862634,8/52,"351,2185,2895,2902,2906,2911,2912,8851","APP,PTK2B,GRID2,GRIN1,GRIN2D,GRM1,GRM2,CDK5R1"
,KEGG Pathway,hsa04713,circadian entrainment,-1.2729638128,10/94,"113,808,2902,2906,2982,3762,5582,8912,51655,51764","ADCY7,CALM3,GRIN1,GRIN2D,GUCY1A1,KCNJ5,PRKCG,CACNA1H,RASD1,GNG13"
,KEGG Pathway,ko04724,Glutamatergic synapse,-0.9438683528,10/110,"113,1742,2902,2906,2911,2912,5582,6511,50944,51764","ADCY7,DLG4,GRIN1,GRIN2D,GRM1,GRM2,PRKCG,SLC1A6,SHANK1,GNG13"
,KEGG Pathway,hsa04724,Glutamatergic synapse,-0.9250607979,10/112,"113,1742,2902,2906,2911,2912,5582,6511,50944,51764","ADCY7,DLG4,GRIN1,GRIN2D,GRM1,GRM2,PRKCG,SLC1A6,SHANK1,GNG13"
,KEGG Pathway,ko05030,Cocaine addiction,-0.8103419084,6/48,"1742,2902,2906,2912,8851,26086","DLG4,GRIN1,GRIN2D,GRM2,CDK5R1,GPSM1"
,KEGG Pathway,hsa05030,Cocaine addiction,-0.6821983996,6/52,"1742,2902,2906,2912,8851,26086","DLG4,GRIN1,GRIN2D,GRM2,CDK5R1,GPSM1"
bicarbonate transport,GO Biological Processes,GO:0015701,bicarbonate transport,-1.7259073721,7/41,"760,6522,23632,51167,51700,57835,83697","CA2,SLC4A2,CA14,CYB5R4,CYB5R2,SLC4A5,SLC4A9"
,GO Biological Processes,GO:0098656,anion transmembrane transport,-0.9896596048,26/507,"760,1179,1375,2180,3688,5826,5828,6522,6536,6560,6584,9635,10165,11136,25932,55314,55829,57835,79602,81031,83697,94015,153129,154091,285966,347734","CA2,CLCA1,CPT1B,ACSL1,ITGB1,ABCD4,PEX2,SLC4A2,SLC6A9,SLC12A4,SLC22A5,CLCA2,SLC25A13,SLC7A9,CLIC4,TMEM144,SELENOS,SLC4A5,ADIPOR2,SLC2A10,SLC4A9,TTYH2,SLC38A9,SLC2A12,TCAF2,SLC35B2"
,GO Biological Processes,GO:0015711,organic anion transport,-0.6287518114,18/340,"301,760,3688,6522,6536,9197,10165,11136,23632,51167,51228,51700,57835,80765,81031,83697,153129,347734","ANXA1,CA2,ITGB1,SLC4A2,SLC6A9,SLC33A1,SLC25A13,SLC7A9,CA14,CYB5R4,GLTP,CYB5R2,SLC4A5,STARD5,SLC2A10,SLC4A9,SLC38A9,SLC35B2"
membrane lipid biosynthetic process,GO Biological Processes,GO:0046467,membrane lipid biosynthetic process,-1.7259073721,13/140,"5277,6484,7368,8612,9514,9517,10351,29956,51604,60481,64834,79152,256435","PIGA,ST3GAL4,UGT8,PLPP2,GAL3ST1,SPTLC2,ABCA8,CERS2,PIGT,ELOVL5,ELOVL1,FA2H,ST6GALNAC3"
,GO Biological Processes,GO:0006643,membrane lipid metabolic process,-1.7257790958,16/201,"4258,5168,5277,6484,7368,8612,9514,9517,10351,29956,51228,51604,60481,64834,79152,256435","MGST2,ENPP2,PIGA,ST3GAL4,UGT8,PLPP2,GAL3ST1,SPTLC2,ABCA8,CERS2,GLTP,PIGT,ELOVL5,ELOVL1,FA2H,ST6GALNAC3"
,GO Biological Processes,GO:0046513,ceramide biosynthetic process,-1.1402086606,12/66,"5580,6482,6483,7368,9514,9517,29956,64834,79152,81849,256435,285848","PRKCD,ST3GAL1,ST3GAL2,UGT8,GAL3ST1,SPTLC2,CERS2,ELOVL1,FA2H,ST6GALNAC5,ST6GALNAC3,PNPLA1"
,GO Biological Processes,GO:0006682,galactosylceramide biosynthetic process,-1.3135479161,3/6,"7368,9514,79152","UGT8,GAL3ST1,FA2H"
,GO Biological Processes,GO:0019375,galactolipid biosynthetic process,-1.3135479161,3/6,"7368,9514,79152","UGT8,GAL3ST1,FA2H"
,GO Biological Processes,GO:0030148,sphingolipid biosynthetic process,-1.2108870003,10/105,"7368,8612,9514,9517,10351,29956,60481,64834,79152,256435","UGT8,PLPP2,GAL3ST1,SPTLC2,ABCA8,CERS2,ELOVL5,ELOVL1,FA2H,ST6GALNAC3"
,GO Biological Processes,GO:0006688,glycosphingolipid biosynthetic process,-0.9324272744,7/27,"6482,6483,7368,9514,79152,81849,256435","ST3GAL1,ST3GAL2,UGT8,GAL3ST1,FA2H,ST6GALNAC5,ST6GALNAC3"
,GO Biological Processes,GO:0009247,glycolipid biosynthetic process,-0.9324272744,11/62,"5277,6482,6483,6484,7368,9514,51604,54872,79152,81849,256435","PIGA,ST3GAL1,ST3GAL2,ST3GAL4,UGT8,GAL3ST1,PIGT,PIGG,FA2H,ST6GALNAC5,ST6GALNAC3"
,KEGG Pathway,hsa00604,Glycosphingolipid biosynthesis - ganglio series ,-0.9000442658,5/14,"6482,6483,9197,81849,256435","ST3GAL1,ST3GAL2,SLC33A1,ST6GALNAC5,ST6GALNAC3"
,KEGG Pathway,ko00604,Glycosphingolipid biosynthesis - ganglio series,-0.9000442658,5/14,"6482,6483,9197,81849,256435","ST3GAL1,ST3GAL2,SLC33A1,ST6GALNAC5,ST6GALNAC3"
,GO Biological Processes,GO:0006677,glycosylceramide metabolic process,-1.035813747,4/17,"7368,9514,79152,256435","UGT8,GAL3ST1,FA2H,ST6GALNAC3"
,GO Biological Processes,GO:0006681,galactosylceramide metabolic process,-1.0282430388,3/8,"7368,9514,79152","UGT8,GAL3ST1,FA2H"
,GO Biological Processes,GO:0046476,glycosylceramide biosynthetic process,-1.0282430388,3/8,"7368,9514,79152","UGT8,GAL3ST1,FA2H"
,GO Biological Processes,GO:0006665,sphingolipid metabolic process,-0.9981216268,12/158,"5168,7368,8612,9514,9517,10351,29956,51228,60481,64834,79152,256435","ENPP2,UGT8,PLPP2,GAL3ST1,SPTLC2,ABCA8,CERS2,GLTP,ELOVL5,ELOVL1,FA2H,ST6GALNAC3"
,GO Biological Processes,GO:0019374,galactolipid metabolic process,-0.9438683528,3/9,"7368,9514,79152","UGT8,GAL3ST1,FA2H"
,GO Biological Processes,GO:0006664,glycolipid metabolic process,-0.6279727348,14/103,"5277,5580,6482,6483,6484,7368,9514,51228,51604,54872,57488,79152,81849,256435","PIGA,PRKCD,ST3GAL1,ST3GAL2,ST3GAL4,UGT8,GAL3ST1,GLTP,PIGT,PIGG,ESYT2,FA2H,ST6GALNAC5,ST6GALNAC3"
,GO Biological Processes,GO:1903509,liposaccharide metabolic process,-0.604129037,14/104,"5277,5580,6482,6483,6484,7368,9514,51228,51604,54872,57488,79152,81849,256435","PIGA,PRKCD,ST3GAL1,ST3GAL2,ST3GAL4,UGT8,GAL3ST1,GLTP,PIGT,PIGG,ESYT2,FA2H,ST6GALNAC5,ST6GALNAC3"
,GO Biological Processes,GO:0006672,ceramide metabolic process,-0.5151450114,13/96,"5580,6482,6483,7368,8612,9514,9517,29956,64834,79152,81849,256435,285848","PRKCD,ST3GAL1,ST3GAL2,UGT8,PLPP2,GAL3ST1,SPTLC2,CERS2,ELOVL1,FA2H,ST6GALNAC5,ST6GALNAC3,PNPLA1"
,GO Biological Processes,GO:0001574,ganglioside biosynthetic process,-0.2662930802,4/14,"6482,6483,81849,256435","ST3GAL1,ST3GAL2,ST6GALNAC5,ST6GALNAC3"
,KEGG Pathway,hsa00600,Sphingolipid metabolism ,-0.5271657148,5/45,"7368,8612,9514,9517,29956","UGT8,PLPP2,GAL3ST1,SPTLC2,CERS2"
,KEGG Pathway,ko00600,Sphingolipid metabolism,-0.5271657148,5/45,"7368,8612,9514,9517,29956","UGT8,PLPP2,GAL3ST1,SPTLC2,CERS2"
