"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol","gene_type"
"ENSMFAG00000012793",21.8338637708467,-0.0953680968252595,0.0987803839782072,14.952902244082,0.0922378218160302,0.0959176126521164,"RF00017","misc_RNA"
"ENSMFAG00000024714",115.748610870411,-0.0832108465458467,0.0709428779150386,14.9409671777412,0.0925703225390371,0.0962583054563807,"ENSMFAG00000024714","protein_coding"
"ENSMFAG00000015218",3.68771648779604,-0.17722682721085,0.217042058722021,14.9359862020519,0.0927094004998562,0.0963978442674376,"ENSMFAG00000015218","miRNA"
"ENSMFAG00000005123",2.31247937290707,-0.158579130744995,0.219756264861464,14.9255751431479,0.093000691291131,0.0966956286519442,"RF00026","snRNA"
"ENSMFAG00000023919",6.70822376541671,-0.192056751426238,0.161393880612765,14.9202835907822,0.093149052459809,0.0968447812391038,"RF00181","snoRNA"
"ENSMFAG00000039851",4.23084508990027,0.256727249564108,0.153243525125635,14.9183362253216,0.0932037039267446,0.0968964955680993,"ENSMFAG00000039851","protein_coding"
"ENSMFAG00000032811",372.898748605954,0.0134018352049277,0.0455083335113125,14.9101894595806,0.0934326437314368,0.0971293886575371,"HSF2","protein_coding"
"ENSMFAG00000044817",3.01408031240254,0.116806760107446,0.174207962501403,14.896373111595,0.0938220423894393,0.0975290559703096,"GJC3","protein_coding"
"ENSMFAG00000030903",254.383763163785,-0.0171920456886789,0.0689414830437246,14.8823606103106,0.094218428564945,0.0979359443946423,"CCNC","protein_coding"
"ENSMFAG00000039578",1260.90828339434,-0.0157884585151922,0.0523645578708061,14.8747967408908,0.0944330077528348,0.0981538194784522,"AGTPBP1","protein_coding"
"ENSMFAG00000041334",114.796521961588,-0.0931999253791858,0.0416794105278218,14.8734217552837,0.0944720608534534,0.0981892391235366,"ZDHHC15","protein_coding"
"ENSMFAG00000011397",1.84939308111455,-0.18201793419324,0.253462879652084,14.8698589762016,0.0945733190201375,0.0982893042718505,"MIR454","miRNA"
"ENSMFAG00000015175",30.2109800555385,0.0396452681877052,0.0645423297601109,14.8603897836338,0.0948429085203334,0.0985642950926012,"ENSMFAG00000015175","protein_coding"
"ENSMFAG00000041190",11.6374163021665,0.144655124411604,0.103314415680639,14.8547564409309,0.0950036113513661,0.0987261038121528,"ENSMFAG00000041190","protein_coding"
"ENSMFAG00000042984",95.7196205459174,0.121531866226702,0.0670269747436649,14.8543240883091,0.0950159550037648,0.0987337313252034,"ENSMFAG00000042984","protein_coding"
"ENSMFAG00000021894",5.5718019261335,-0.108206522255172,0.149801533647254,14.8425376099722,0.0953530025238361,0.0990787491206074,"RF00017","misc_RNA"
"ENSMFAG00000037180",358.405282568243,-0.0834547973830438,0.0733668124556992,14.8334198816865,0.0956144551171574,0.0993451860550656,"ENSMFAG00000037180","protein_coding"
