"gene_id","highest_network","donor_centered_log2_effect_vs_other_network_mean","gene_symbol","gene_type"
"ENSMFAG00000039471","Orbitomedial Prefrontal Cortex (OMPFC)",2.09954863595538,"FMO3","protein_coding"
"ENSMFAG00000045183","Frontal (agranular frontal motor areas)",0.300550904573737,"FMO2","protein_coding"
"ENSMFAG00000032860","Subcortical",0.461434714239593,"FMO4","protein_coding"
"ENSMFAG00000000519","Orbitomedial Prefrontal Cortex (OMPFC)",0.0748483388204781,"PRRC2C","protein_coding"
"ENSMFAG00000013235","Occipital/Temporal",0.360668896400956,"RF00017","misc_RNA"
"ENSMFAG00000041678","Orbitomedial Prefrontal Cortex (OMPFC)",2.94138158131807,"MYOC","protein_coding"
"ENSMFAG00000000187","Occipital/Temporal",0.410001860353973,"ENSMFAG00000000187","protein_coding"
"ENSMFAG00000031870","Hippocampal formation",0.0898438911471133,"VAMP4","protein_coding"
"ENSMFAG00000045158","Occipital/Temporal",0.115609112921747,"EEF1AKNMT","protein_coding"
"ENSMFAG00000035372","Occipital/Temporal",0.245692599656748,"DNM3","protein_coding"
"ENSMFAG00000000294","Occipital/Temporal",0.500918422108588,"C1orf105","protein_coding"
"ENSMFAG00000021978","Hippocampal formation",0.227825738538256,"PIGC","protein_coding"
"ENSMFAG00000046345","Subcortical",0.491920663408721,"SUCO","protein_coding"
"ENSMFAG00000039338","Subcortical",1.17829971182326,"FASLG","protein_coding"
"ENSMFAG00000001460","Subcortical",0.378248801941099,"TNFSF4","protein_coding"
"ENSMFAG00000041050","Subcortical",0.36353493655162,"ENSMFAG00000041050","protein_coding"
"ENSMFAG00000030455","Subcortical",0.311480487727033,"PRDX6","protein_coding"
"ENSMFAG00000003535","Subcortical",1.50292410898427,"ENSMFAG00000003535","protein_coding"
"ENSMFAG00000033900","Subcortical",0.318613759866871,"KLHL20","protein_coding"
"ENSMFAG00000019656","Occipital/Temporal",0.443447191222319,"RF00100","misc_RNA"
"ENSMFAG00000045526","Hippocampal formation",0.387670200220919,"CENPL","protein_coding"
"ENSMFAG00000003036","Hippocampal formation",0.289308852581373,"DARS2","protein_coding"
"ENSMFAG00000016785","Occipital/Temporal",0.465209638221194,"RF00152","snoRNA"
"ENSMFAG00000012707","Occipital/Temporal",0.296014923180399,"RF00069","snoRNA"
"ENSMFAG00000019211","Parietal, and Parieto-occipital region",0.21424685701496,"RF00284","snoRNA"
"ENSMFAG00000000705","Subcortical",0.454981150891973,"ZBTB37","protein_coding"
"ENSMFAG00000031906","Subcortical",0.511100358758722,"SERPINC1","protein_coding"
"ENSMFAG00000033725","Occipital/Temporal",0.14131358739146,"RC3H1","protein_coding"
"ENSMFAG00000034332","Orbitomedial Prefrontal Cortex (OMPFC)",0.0898415519015666,"RABGAP1L","protein_coding"
"ENSMFAG00000040713","Orbitomedial Prefrontal Cortex (OMPFC)",0.411215171923749,"RF00026","snRNA"
"ENSMFAG00000000624","Parietal, and Parieto-occipital region",0.108947285547549,"CACYBP","protein_coding"
"ENSMFAG00000005783","Occipital/Temporal",0.329972702116549,"RF00026","snRNA"
"ENSMFAG00000044095","Hippocampal formation",0.249950176417419,"MRPS14","protein_coding"
"ENSMFAG00000001813","Occipital/Temporal",0.266603538214988,"TNN","protein_coding"
"ENSMFAG00000004594","Subcortical",0.649399890003002,"KIAA0040","protein_coding"
"ENSMFAG00000004635","Cingulate gyrus",0.25495922126299,"ENSMFAG00000004635","protein_coding"
"ENSMFAG00000038286","Cingulate gyrus",0.279194511877075,"TNR","protein_coding"
"ENSMFAG00000035358","Operculum/Insula",0.0772365886842437,"COP1","protein_coding"
"ENSMFAG00000005378","Occipital/Temporal",0.420986410759164,"RF00565","scaRNA"
"ENSMFAG00000008400","Subcortical",0.3767816834609,"ENSMFAG00000008400","protein_coding"
"ENSMFAG00000040580","Hippocampal formation",0.759459300679554,"PAPPA2","protein_coding"
"ENSMFAG00000003043","Hippocampal formation",0.181784075419911,"ASTN1","protein_coding"
"ENSMFAG00000036550","Operculum/Insula",0.298802064065933,"BRINP2","protein_coding"
