"gene_symbol","fisher_score","gene_index","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_type","highest_network","donor_centered_log2_effect_vs_other_network_mean","lrt_tested","lrt_fdr_lt_0_05","effect_n_donors","effect_se","effect_ci95_low","effect_ci95_high"
"KLHL13",1.54596776133397,12352,"ENSMFAG00000043732",218.169713495464,0.151874385059292,0.0656430068279122,2368.20233766824,0,0,"protein_coding","Subcortical",1.76748316533627,TRUE,TRUE,7,0.169703726333624,1.25072704100534,2.08122715930375
"HCN1",1.5390560721486,11244,"ENSMFAG00000031844",2047.85424959898,0.170294443623618,0.0583978982436462,1018.71985378916,1.58389171163869e-213,1.50256496413724e-211,"protein_coding","Occipital/Temporal",0.588661880326084,TRUE,TRUE,9,0.102572095679307,0.187718514139042,0.660781867725121
"TESPA1",1.52441151467565,19380,"ENSMFAG00000040218",1848.64585970928,0.0752617816513188,0.119624368228679,566.454276957875,3.29780811298171e-116,6.5072349685355e-115,"protein_coding","Frontal (agranular frontal motor areas)",1.34157826416159,TRUE,TRUE,8,0.120629878039169,0.475772969604473,1.04626163976067
"ENSMFAG00000015786",1.51939750044613,5634,"ENSMFAG00000015786",285.333171364055,-0.0479647243053438,0.059680907645629,946.251112396678,6.67071968305517e-198,5.14166565570487e-196,"protein_coding","Lateral Prefrontal Cortex",0.395638450843031,TRUE,TRUE,6,0.0707198467339559,0.0504439788055684,0.414026285672151
"FAM81A",1.51755600302612,10089,"ENSMFAG00000044204",858.691302697804,-0.297870916556265,0.0500417491621741,870.513795379731,1.39249918536426e-181,8.37707131878278e-180,"protein_coding","Cingulate gyrus",0.375635623049274,TRUE,TRUE,8,0.0631316086979551,0.166616196502117,0.465181262440618
"VSNL1",1.51609886210426,20763,"ENSMFAG00000042391",10158.1926039408,0.0574924633515605,0.0725552737142854,755.268258720369,8.98917071836143e-157,3.78196837131573e-155,"protein_coding","Frontal (agranular frontal motor areas)",0.571653403654409,TRUE,TRUE,8,0.0722678804918773,0.211146642852388,0.552919408496992
"ID2",1.50832858086534,11621,"ENSMFAG00000000039",1365.06452634088,-0.0740139581321443,0.0571296054395937,859.801689111795,2.82567465603263e-179,1.63507953996586e-177,"protein_coding","Cingulate gyrus",0.437513157635245,TRUE,TRUE,8,0.109056553391754,0.0955377818836495,0.61129332377418
"SIX3",1.50637459874474,17988,"ENSMFAG00000044088",52.2477149742001,0.247396426536598,0.285457149492374,2120.116243181,0,0,"protein_coding","Subcortical",5.31087852373151,TRUE,TRUE,7,0.269406364541083,4.88216863612385,6.20059588846276
"CCDC83",1.5004276894243,2113,"ENSMFAG00000002840",40.5240722163565,0.562741111842567,0.0839540682865447,1064.15207254803,2.51442102021731e-223,2.6390721048366e-221,"protein_coding","Occipital/Temporal",1.1750510972403,TRUE,TRUE,9,0.164867879459236,0.333137483860305,1.09350950745099
"GRIN2A",1.48923501023763,11057,"ENSMFAG00000037083",7344.62730512519,0.165397554184681,0.0494478087983748,982.372397106546,1.08983561903141e-205,9.3093664219601e-204,"protein_coding","Occipital/Temporal",0.409666971174694,TRUE,TRUE,9,0.0686499384950436,0.194131794367239,0.510745878469404
"IGSF21",1.48039232503684,11707,"ENSMFAG00000040850",2946.39183067053,-0.0710519574384991,0.0640556740554859,793.185804668761,6.22721601710685e-165,2.91865621020315e-163,"protein_coding","Frontal (agranular frontal motor areas)",0.465493438902331,TRUE,TRUE,8,0.0396057694817724,0.18204479252742,0.369350318566604
"NLK",1.47939583549432,14462,"ENSMFAG00000041658",3603.71040407894,0.198669999224235,0.0477406051351891,995.926961184454,1.30260351448965e-208,1.17903543797751e-206,"protein_coding","Temporal",0.371705241015361,TRUE,TRUE,8,0.156995016656209,-0.205247430647316,0.537221016881656
"CHAT",1.47691892350052,2559,"ENSMFAG00000045379",15.310527829354,-0.264078347165714,0.714616342737005,603.800534651261,3.20114346273761e-124,7.43992494779018e-123,"protein_coding","Subcortical",5.41543582459492,TRUE,TRUE,7,0.620602379409314,3.57210145161723,6.60922008566807
"SLC26A4",1.47304579994859,18155,"ENSMFAG00000041539",226.919612954093,-0.450102585200171,0.0950095460204106,813.257870994796,2.97571858970576e-169,1.48650327119175e-167,"protein_coding","Cingulate gyrus",1.10887193177306,TRUE,TRUE,8,0.133905090583289,0.44100565152515,1.0742761007351
"PAK1",1.46833068503908,15018,"ENSMFAG00000003264",7795.60450473915,0.0894257119385269,0.0473622239501165,923.064206313193,6.63003178447258e-193,4.6722781132576e-191,"protein_coding","Temporal",0.346192100227237,TRUE,TRUE,8,0.0567141982480925,0.11516999905413,0.383385536228292
"ENSMFAG00000033090",1.46802255853842,6950,"ENSMFAG00000033090",769.391818982229,-0.042107428571391,0.0756170085285082,2171.04410040237,0,0,"protein_coding","Subcortical",1.77234514361361,TRUE,TRUE,7,0.242032298420767,1.23931444237388,2.42377784110514
"DLGAP1",1.46540255205087,3641,"ENSMFAG00000031490",8322.16923643162,0.0496514760109973,0.0517830518362607,793.004525176335,6.81258157529897e-165,3.1854469109905e-163,"protein_coding","Occipital/Temporal",0.272576295567162,TRUE,TRUE,9,0.0380747745861528,0.110858552704626,0.286459727989896
"SLC17A7",1.45953843847823,18063,"ENSMFAG00000001898",19258.9939206079,-0.248269070026436,0.137498111696069,253.768051413106,1.59697333390702e-49,7.14545982418444e-49,"protein_coding","Hippocampal formation",1.04370086367647,TRUE,TRUE,3,0.121186473820395,0.276835409032069,1.31968203381614
"CAMK2G",1.45696043084665,1864,"ENSMFAG00000029191",7630.22873499223,0.0342019066671761,0.0582279145115258,1166.74719520738,1.82744386079374e-245,2.52161694134141e-243,"protein_coding","Occipital/Temporal",0.761250310613107,TRUE,TRUE,9,0.100946976158846,0.339566471817782,0.805134760735094
"SLC30A3",1.44982203755062,18190,"ENSMFAG00000000328",2162.06886570511,-0.05827783264664,0.130407513666222,286.308447773643,2.08571092444909e-56,1.08789976106872e-55,"protein_coding","Hippocampal formation",0.805106884596462,TRUE,TRUE,3,0.124623104113035,0.108559484249361,1.18097936245296
"NUDT4",1.44850305285305,14722,"ENSMFAG00000035819",3368.77849016011,-0.0725718419612207,0.0358681074302881,1096.7087193383,2.37998125559645e-230,2.65320848222763e-228,"protein_coding","Orbitomedial Prefrontal Cortex (OMPFC)",0.290201781203064,TRUE,TRUE,9,0.02902332536678,0.148690129250323,0.282545945876664
"SHC3",1.44562883158684,17913,"ENSMFAG00000041328",5157.37538581479,-0.114478185636667,0.0478995552730838,943.910153181461,2.13180958143239e-197,1.63042118840403e-195,"protein_coding","Cingulate gyrus",0.388829532850605,TRUE,TRUE,8,0.0890532148388444,0.0270861540209135,0.448240937001381
"MAFB",1.43996193534432,12963,"ENSMFAG00000023841",634.697399923106,0.443169343255073,0.0766938434918489,1112.87441645245,7.73461415059686e-234,9.42095101355414e-232,"protein_coding","Occipital/Temporal",0.965752980408529,TRUE,TRUE,9,0.141971372801347,0.334599327590293,0.98937247311133
"MET",1.43813593437907,13271,"ENSMFAG00000028602",638.170967100216,3.21873873130201,0.159303557987405,1983.38619412135,0,0,"protein_coding","Occipital/Temporal",2.68002983427003,TRUE,TRUE,9,0.21244643702706,1.97046670398402,2.9502714285716
"SLC18A3",1.43783068092377,18068,"ENSMFAG00000008697",14.1640669430939,-0.332117432422166,0.426416602867103,1489.60635773568,3.34682717672853e-315,7.67902254082199e-313,"protein_coding","Subcortical",5.09043816485135,TRUE,TRUE,7,0.532282165972749,3.58509269726628,6.18998777740994
"SYNDIG1L",1.43751246363579,19084,"ENSMFAG00000039919",972.590978730132,0.070666931371064,0.129653563719319,6676.48494034496,0,0,"protein_coding","Subcortical",4.25888238133928,TRUE,TRUE,7,0.808351828367098,1.50756240186371,5.46349373931602
"HRH1",1.42874594579699,11501,"ENSMFAG00000030336",324.886930287547,-0.350394366766472,0.0762271982551048,979.174372325611,5.33159311699075e-205,4.5151500165005e-203,"protein_coding","Orbitomedial Prefrontal Cortex (OMPFC)",0.793200905712292,TRUE,TRUE,9,0.0837966497709785,0.516750791136063,0.903221632912327
"CDH12",1.42751629221445,2333,"ENSMFAG00000030271",784.21705183287,0.138741787854501,0.0593770034134116,814.795433469628,1.38860401872319e-169,6.98977920853215e-168,"protein_coding","Temporal",0.392731800780982,TRUE,TRUE,8,0.166217326233995,-0.173835417773312,0.612247623522318
"ZSCAN31",1.42466687650588,21643,"ENSMFAG00000001436",214.839934081021,0.266292493076278,0.0568065192019048,1102.63706998823,1.25149215097013e-231,1.46120965224512e-229,"protein_coding","Occipital/Temporal",0.786132060858553,TRUE,TRUE,9,0.0875539350725066,0.391232262278492,0.795031734939687
"ENSMFAG00000040743",1.42275388442137,8152,"ENSMFAG00000040743",13162.8788325236,-0.010880966994324,0.109050323066206,308.713268896901,3.69704469503292e-61,2.1525549106636e-60,"protein_coding","Hippocampal formation",0.940287813651748,TRUE,TRUE,3,0.141958609282512,0.119208135657178,1.34080533113885
"RHEBL1",1.42256194438489,17075,"ENSMFAG00000035227",74.8169628848942,0.118852244406935,0.066858741126778,876.438752247192,7.37044861470974e-183,4.587813629825e-181,"protein_coding","Lateral Prefrontal Cortex",0.575279481548896,TRUE,TRUE,6,0.0358131438549305,0.203413649027364,0.387534883168393
"KCNK12",1.41931594077341,12145,"ENSMFAG00000019146",1562.60463319981,0.382524539909442,0.0658474458056147,920.733466534826,2.10763184120938e-192,1.46953326822415e-190,"protein_coding","Occipital/Temporal",0.77397434026101,TRUE,TRUE,9,0.0982058384207315,0.398762941139486,0.851689080138284
"ABCA1",1.41770293845343,24,"ENSMFAG00000002145",860.765244546711,0.262533867392129,0.0547903854727473,2277.84030915641,0,0,"protein_coding","Subcortical",1.46227097545609,TRUE,TRUE,7,0.146449549251881,1.05976082358044,1.77645909889897
"NEUROD2",1.40618086992182,14357,"ENSMFAG00000029472",1185.13290059068,-0.416445403509558,0.128817147597875,283.637055336425,7.67699887030936e-56,3.96136353841382e-55,"protein_coding","Hippocampal formation",1.28699152171042,TRUE,TRUE,3,0.22949495359275,0.00364801337502318,1.97852219045417
"MFSD4A",1.40274969072659,13324,"ENSMFAG00000039412",3994.72829085928,0.271257942215297,0.0665477991866597,548.219714417033,2.6807360307884e-112,4.79567392198701e-111,"protein_coding","Operculum/Insula",0.383577490812737,TRUE,TRUE,9,0.0410393738185608,0.256798899504678,0.44607283096826
"PPL",1.39011403783207,15840,"ENSMFAG00000000780",936.601690899165,0.00453582331582791,0.112091589931302,711.352140449866,2.50711921929267e-147,8.96204283244256e-146,"protein_coding","Occipital/Temporal",1.28977005504677,TRUE,TRUE,9,0.114251237291392,0.587566878605503,1.11449452989779
"USP43",1.38326686189813,20620,"ENSMFAG00000038797",575.395669198486,-0.13754655296777,0.0745864543573189,720.177107290336,3.17355874062336e-149,1.1792968186437e-147,"protein_coding","Cingulate gyrus",0.607428372951321,TRUE,TRUE,8,0.12140776642193,0.141149252871133,0.715316750497148
"SRGAP1",1.38196747570599,18783,"ENSMFAG00000042942",184.544389572163,-0.336823145520094,0.0738863200961102,2699.90273042485,0,0,"protein_coding","Subcortical",1.93237897445325,TRUE,TRUE,7,0.2077865181213,1.34560117984687,2.36247176724518
"LRFN2",1.38103332291564,12753,"ENSMFAG00000042060",1293.30859860084,-0.0585369000587664,0.0717055448072285,636.744227908481,2.70496485289668e-131,7.12608364183675e-130,"protein_coding","Cingulate gyrus",0.501744651171075,TRUE,TRUE,8,0.0629573628590268,0.170746493731761,0.468487507797324
